frame,Time [s],CH1,BGND1,CH2,BGND2,intensity
0,0.0,37777,25512,36290,37171,12265
1,0.052,34377,24296,37233,37467,10081
2,0.103,35649,25639,36322,36990,10010
3,0.155,34959,26958,35871,37648,8001
4,0.207,34534,25536,37543,37201,8998
5,0.259,38198,26323,37188,37262,11875
6,0.31,38621,25421,36824,38010,13200
7,0.362,35717,27037,37779,37231,8680
8,0.414,40613,26758,36724,37491,13855
9,0.466,35848,24520,36294,37014,11328
10,0.517,33853,24091,38640,37382,9762
11,0.569,30882,24871,39269,36942,6011
12,0.621,34222,25924,37174,37575,8298
13,0.673,34920,25228,35802,37708,9692
14,0.724,36521,25028,34272,37044,11493
15,0.776,34031,25192,34789,37720,8839
16,0.828,33659,23891,38776,37201,9768
17,0.88,32270,23770,36075,37871,8500
18,0.931,32472,24708,35074,38167,7764
19,0.983,33113,24205,38235,37503,8908
20,1.035,32676,24738,39143,37225,7938
21,1.087,33441,25397,37197,37418,8044
22,1.138,33224,25470,35825,37256,7754
23,1.19,35341,26081,37546,37286,9260
24,1.242,32767,25573,34644,37660,7194
25,1.294,32560,25549,36991,37256,7011
26,1.345,37608,25784,38316,37539,11824
27,1.397,34687,25918,37989,37551,8769
28,1.449,30615,25294,36152,38269,5321
29,1.501,30789,24581,36090,37606,6208
30,1.552,31134,25204,37396,37087,5930
31,1.604,32559,25724,39396,36990,6835
32,1.656,33582,24708,32856,37340,8874
33,1.707,30328,25252,39134,37829,5076
34,1.759,33879,25421,37417,36598,8458
35,1.811,35590,26607,37556,37702,8983
36,1.863,35672,27224,37558,37370,8448
37,1.914,35842,27031,39007,37515,8811
38,1.966,34221,25663,37039,37551,8558
39,2.018,31268,26196,39034,37105,5072
40,2.07,31037,25530,37618,37539,5507
41,2.121,31129,24466,37098,36513,6663
42,2.173,36962,24901,38022,37612,12061
43,2.225,32605,25276,35800,37467,7329
44,2.277,32971,26329,38329,38058,6642
45,2.328,33016,24623,37663,37491,8393
46,2.38,32626,24314,37558,37491,8312
47,2.432,29137,23830,36602,38287,5307
48,2.484,30288,23425,36399,37678,6863
49,2.535,28362,24272,37197,37817,4090
50,2.587,29766,25373,37442,37485,4393
51,2.639,29537,23988,36556,37346,5549
52,2.691,32359,24133,35226,37268,8226
53,2.742,30599,25192,34773,37702,5407
54,2.794,31692,23377,34993,36676,8315
55,2.846,26738,22360,37597,37418,4378
56,2.898,29195,23830,38370,37087,5365
57,2.949,27788,23316,38574,37774,4472
58,3.001,26651,23274,41918,37545,3377
59,3.053,28922,24478,37431,37750,4444
60,3.105,28686,24756,38946,37292,3930
61,3.156,27619,24254,37866,37630,3365
62,3.208,27668,22602,37167,36610,5066
63,3.26,29994,23443,35410,37050,6551
64,3.311,28507,22542,38225,37243,5965
65,3.363,28317,22015,37775,37648,6302
66,3.415,29669,23758,40238,37485,5911
67,3.467,27873,23461,37751,37400,4412
68,3.518,29065,23310,34981,37418,5755
69,3.57,28930,22923,37338,37485,6007
70,3.622,29033,22614,38128,37388,6419
71,3.674,26649,22233,37532,37485,4416
72,3.725,25851,22421,38328,37521,3430
73,3.777,26532,23667,37450,36887,2865
74,3.829,29066,23631,38119,37581,5435
75,3.881,28204,23849,40304,37744,4355
76,3.932,29186,23600,38274,37062,5586
77,3.984,31841,23207,39758,37286,8634
78,4.036,27597,23068,38065,37509,4529
79,4.088,27764,23407,36717,37738,4357
80,4.139,27099,22953,38890,37135,4146
81,4.191,28021,22947,38924,38058,5074
82,4.243,27823,22112,38061,36918,5711
83,4.295,28346,21277,37949,37370,7069
84,4.346,28291,21483,37554,37316,6808
85,4.398,27158,22209,36306,37877,4949
86,4.45,28308,21308,37204,36906,7000
87,4.502,31062,21786,36874,37937,9276
88,4.553,28826,22602,38429,37147,6224
89,4.605,30521,23123,37101,37358,7398
90,4.657,33827,22427,36354,37068,11400
91,4.709,33413,22632,38125,37575,10781
92,4.76,34821,22034,37093,37418,12787
93,4.812,29148,22639,38824,37207,6509
94,4.864,29961,22300,38805,37002,7661
95,4.915,32678,21053,36745,37943,11625
96,4.967,27916,22826,39716,37322,5090
97,5.019,30303,22269,40332,37231,8034
98,5.071,31054,23939,37390,36906,7115
99,5.122,33138,23576,39736,37503,9562
100,5.174,30499,23449,39432,36773,7050
101,5.226,29029,21967,38726,38118,7062
102,5.278,28707,22965,39147,36737,5742
103,5.329,27399,22294,37312,37606,5105
104,5.381,29915,21683,38088,37750,8232
105,5.433,28911,22100,38043,36990,6811
106,5.485,30029,21556,36689,37455,8473
107,5.536,30359,21229,38268,37093,9130
108,5.588,28153,21786,37684,37376,6367
109,5.64,29435,22324,37499,37539,7111
110,5.692,31895,22215,36037,37243,9680
111,5.743,28679,23074,36288,37865,5605
112,5.795,32776,22263,36616,37292,10513
113,5.847,33967,22687,36804,37817,11280
114,5.899,32158,22173,37141,37672,9985
115,5.95,31888,22675,37170,36942,9213
116,6.002,30113,21943,35696,38402,8170
117,6.054,28951,22366,37707,37473,6585
118,6.106,29096,22735,36227,37599,6361
119,6.157,31181,21755,35497,37328,9426
120,6.209,29836,20551,37552,37304,9285
121,6.261,30634,21907,39137,37473,8727
122,6.313,31070,22124,37681,37708,8946
123,6.364,31558,22155,38526,36990,9403
124,6.416,29749,22390,38252,37575,7359
125,6.468,29167,22288,39906,37563,6879
126,6.519,28874,22366,38730,36900,6508
127,6.571,31121,24115,34715,36459,7006
128,6.623,31455,22965,39725,37672,8490
129,6.675,31133,23092,38304,36718,8041
130,6.726,29865,23564,37212,37648,6301
131,6.778,26947,22421,38413,37370,4526
132,6.83,27853,22657,38463,37859,5196
133,6.882,30060,22227,38354,37708,7833
134,6.933,28962,22300,36027,37292,6662
135,6.985,31448,22342,37776,37008,9106
136,7.037,33291,22784,34815,37612,10507
137,7.089,27827,22239,34006,37491,5588
138,7.14,27677,21665,35851,36833,6012
139,7.192,28055,21779,36607,36586,6276
140,7.244,27957,22070,37171,37334,5887
141,7.296,30987,21997,37518,36580,8990
142,7.347,28734,22941,35604,37183,5793
143,7.399,29294,23540,35186,36242,5754
144,7.451,26543,23498,36573,37316,3045
145,7.503,26414,22040,36241,37376,4374
146,7.554,27432,22614,38408,37225,4818
147,7.606,26916,22136,37244,36912,4780
148,7.658,29979,22626,37205,37135,7353
149,7.71,31439,22645,35848,37394,8794
150,7.761,34666,22511,37706,36423,12155
151,7.813,29131,21810,37546,37075,7321
152,7.865,26442,21277,37326,37304,5165
153,7.917,25084,20805,36750,36544,4279
154,7.968,25767,20678,36468,37364,5089
155,8.02,27507,21937,37362,37062,5570
156,8.072,26296,22106,38714,37702,4190
157,8.123,27875,20866,37221,37575,7009
158,8.175,26702,21550,36924,37225,5152
159,8.227,28740,22554,37862,37032,6186
160,8.279,29681,21937,36704,37225,7744
161,8.33,28303,22959,35816,37262,5344
162,8.382,27987,22651,37939,37062,5336
163,8.434,28155,21380,37218,37587,6775
164,8.486,28592,22657,36881,36767,5935
165,8.537,28587,23092,36148,37274,5495
166,8.589,30094,23419,34990,37376,6675
167,8.641,26012,22088,37952,37660,3924
168,8.693,26670,22572,41002,36544,4098
169,8.744,26991,21519,37900,36658,5472
170,8.796,26324,20920,39441,37708,5404
171,8.848,26577,21592,36315,38124,4985
172,8.9,24156,21314,39000,36863,2842
173,8.951,24187,20515,37174,37461,3672
174,9.003,23720,20709,36016,37304,3011
175,9.055,27265,19928,37386,37376,7337
176,9.107,26928,21628,37978,37624,5300
177,9.158,27432,22445,36905,36809,4987
178,9.21,24537,21773,36373,37418,2764
179,9.262,25668,22239,35893,37575,3429
180,9.314,29014,21423,38461,37219,7591
181,9.365,26491,21066,36946,36990,5425
182,9.417,28600,21997,35848,37177,6603
183,9.469,27168,21265,35492,36875,5903
184,9.521,24174,21295,36566,37183,2879
185,9.572,27141,21525,34805,36936,5616
186,9.624,25141,21646,36559,37056,3495
187,9.676,26515,21193,36223,36900,5322
188,9.727,25815,21102,37314,36912,4713
189,9.779,26585,21997,35366,37153,4588
190,9.831,28207,21423,35446,37177,6784
191,9.883,25010,20672,35298,37449,4338
192,9.934,26694,21767,36953,37141,4927
193,9.986,25105,20914,37965,37473,4191
194,10.038,23875,20442,34520,36670,3433
195,10.09,26140,20557,35219,36767,5583
196,10.141,25734,21646,36779,36827,4088
197,10.193,27197,20098,37432,37298,7099
198,10.245,28333,20418,37587,37575,7915
199,10.297,25894,20200,37137,37304,5694
200,10.348,26707,20745,36249,37225,5962
201,10.4,25916,20092,37233,36785,5824
202,10.452,22997,18627,37299,36706,4370
203,10.504,25570,19341,35369,36821,6229
204,10.555,24248,19928,35975,36972,4320
205,10.607,25171,20467,37053,36694,4704
206,10.659,24323,19989,37545,37412,4334
207,10.711,24445,19190,36275,37298,5255
208,10.762,25183,20818,37008,37286,4365
209,10.814,24184,21253,36200,37316,2931
210,10.866,28150,21350,37127,37443,6800
211,10.918,26877,20866,38378,36978,6011
212,10.969,24750,18918,39932,37768,5832
213,11.021,25615,19741,36535,37581,5874
214,11.073,24962,20588,37506,37225,4374
215,11.125,27148,20793,38207,37243,6355
216,11.176,24300,19317,36106,37461,4983
217,11.228,23354,19523,36749,36948,3831
218,11.28,24571,20086,37979,37412,4485
219,11.331,24212,19983,34974,36761,4229
220,11.383,23482,19910,37927,36906,3572
221,11.435,25416,19886,36713,37129,5530
222,11.487,23589,19468,35437,37298,4121
223,11.538,25925,20255,36723,37473,5670
224,11.59,21870,18869,38109,36405,3001
