frame,Time [s],CH1,BGND1,CH2,BGND2,intensity
0,0.0,14093,10103,35090,33936,3990
1,0.052,15433,10031,32510,34271,5402
2,0.103,14164,9928,34648,33401,4236
3,0.155,13359,10031,33133,33809,3328
4,0.207,13247,10188,34292,34332,3059
5,0.259,14107,10127,36053,34046,3980
6,0.31,13477,10139,33845,34253,3338
7,0.362,13089,9898,33231,33584,3191
8,0.414,13905,10200,34433,34161,3705
9,0.466,15989,10007,33088,33754,5982
10,0.517,14996,10037,34330,34216,4959
11,0.569,13113,10103,34721,34149,3010
12,0.621,14188,10061,32783,34125,4127
13,0.673,13097,9856,35342,33973,3241
14,0.724,12074,9795,35311,33699,2279
15,0.776,11254,10013,32627,33949,1241
16,0.828,13345,10025,33704,33474,3320
17,0.88,15231,10013,33272,33675,5218
18,0.931,13751,9795,34567,34119,3956
19,0.983,16640,10013,34824,34739,6627
20,1.035,14399,9934,33890,34259,4465
21,1.087,14498,10097,33683,34204,4401
22,1.138,12801,9759,34528,34386,3042
23,1.19,14117,9970,32421,34125,4147
24,1.242,13240,9844,33047,33906,3396
25,1.294,12145,10067,34936,34174,2078
26,1.345,13203,10152,35041,33797,3051
27,1.397,11426,10381,32835,33991,1045
28,1.449,11288,9838,32425,34137,1450
29,1.501,11784,9898,34442,33833,1886
30,1.552,10404,9958,32683,34307,446
31,1.604,11119,9862,35217,34751,1257
32,1.656,9981,9850,33399,34119,131
33,1.707,11028,9663,33778,34113,1365
34,1.759,10166,9904,34391,34636,262
35,1.811,12140,9904,33888,34368,2236
36,1.863,13499,10025,34187,33797,3474
37,1.914,14742,9850,33015,34149,4892
38,1.966,14733,9964,35319,34234,4769
39,2.018,13080,9958,34885,33979,3122
40,2.07,13880,10031,35724,33967,3849
41,2.121,11684,9952,33247,34149,1732
42,2.173,11502,10007,34394,33936,1495
43,2.225,11601,9886,34128,34490,1715
44,2.277,10529,10001,34368,34095,528
45,2.328,10769,9789,35463,34672,980
46,2.38,10167,9977,34481,34350,190
47,2.432,10452,9983,33420,34532,469
48,2.484,11267,9795,33202,33316,1472
49,2.535,10026,9826,34168,34180,200
50,2.587,10379,9753,33696,34034,626
51,2.639,10089,9940,35329,33943,149
52,2.691,10120,9669,35672,33736,451
53,2.742,10958,9795,34834,33827,1163
54,2.794,10962,9777,33611,33973,1185
55,2.846,11688,9759,33198,34095,1929
56,2.898,11054,9838,34806,34149,1216
57,2.949,11473,9814,34925,34082,1659
58,3.001,14490,9747,34053,34326,4743
59,3.053,12863,9916,34427,34502,2947
60,3.105,13839,9759,33270,34447,4080
61,3.156,13699,9970,32633,33827,3729
62,3.208,13794,9952,33127,34198,3842
63,3.26,14124,9789,33853,33906,4335
64,3.311,13590,9699,32089,34642,3891
65,3.363,11427,9844,33453,34380,1583
66,3.415,10378,9663,34336,33961,715
67,3.467,12637,9856,33218,34393,2781
68,3.518,13778,10308,32090,34283,3470
69,3.57,13235,9711,33466,34326,3524
70,3.622,13105,10152,32862,34380,2953
71,3.674,11607,9970,32496,34149,1637
72,3.725,13723,9880,34477,34624,3843
73,3.777,14938,9729,32051,33809,5209
74,3.829,13964,9892,32340,33681,4072
75,3.881,13387,10025,33908,34168,3362
76,3.932,14445,9801,31680,34095,4644
77,3.984,12933,9826,33156,34946,3107
