frame,Time [s],CH1,BGND1,CH2,BGND2,intensity
153,7.917,9354,5870,18482,18554,3484
154,7.968,8542,5955,19633,18398,2587
155,8.02,8731,5822,17517,18914,2909
156,8.072,8662,5900,19298,18242,2762
157,8.123,8725,6051,19465,18278,2674
158,8.175,8992,5961,18970,18482,3031
159,8.227,9200,5912,19968,18374,3288
160,8.279,9287,5961,19496,18458,3326
161,8.33,9577,5852,18897,18608,3725
162,8.382,9106,5870,18174,18008,3236
163,8.434,7616,5973,18522,18536,1643
164,8.486,8286,5918,18306,18740,2368
165,8.537,6922,5882,19796,18566,1040
166,8.589,7121,5816,17468,18494,1305
167,8.641,6897,5888,18544,18380,1009
168,8.693,8408,5852,18901,18308,2556
169,8.744,7626,5828,19173,18272,1798
170,8.796,7301,6027,19107,18560,1274
171,8.848,6620,5707,18335,18518,913
172,8.9,9558,5894,18840,18452,3664
173,8.951,7677,5870,19258,18362,1807
174,9.003,6617,5743,18826,18296,874
175,9.055,6345,5846,18948,18542,499
176,9.107,6760,5822,18019,18188,938
177,9.158,5758,5864,18469,18326,-106
178,9.21,6572,5882,18968,18338,690
179,9.262,6155,5858,18451,18296,297
180,9.314,6223,5852,18186,18524,371
181,9.365,5997,5828,19207,18506,169
182,9.417,5997,5707,17871,18566,290
183,9.469,5789,5791,18493,18740,-2
184,9.521,5800,5731,19761,18632,69
185,9.572,6231,5689,18233,18524,542
186,9.624,5839,5713,17333,18374,126
187,9.676,5954,5647,18301,18560,307
188,9.727,5620,5731,19046,18512,-111
189,9.779,5819,5671,18263,18734,148
190,9.831,5813,5689,19037,18392,124
191,9.883,5619,5870,19678,18326,-251
192,9.934,6194,5719,19509,18284,475
193,9.986,6062,5713,18015,18626,349
194,10.038,5654,5713,20053,18578,-59
195,10.09,5611,5773,19439,18746,-162
196,10.141,5575,5822,18408,18806,-247
197,10.193,6186,5701,18578,18626,485
198,10.245,5907,5689,19697,18428,218
199,10.297,6332,5816,18361,18506,516
200,10.348,5945,5791,19767,18530,154
201,10.4,5620,5834,18517,18458,-214
202,10.452,6627,5767,18108,18494,860
203,10.504,6330,5882,19254,18314,448
204,10.555,5624,5930,19015,18584,-306
205,10.607,5871,5707,18174,18632,164
206,10.659,6000,5852,19181,18566,148
207,10.711,6885,5894,17103,18476,991
208,10.762,7202,5810,18807,18398,1392
209,10.814,8337,5979,17930,18398,2358
210,10.866,6601,5779,17978,18458,822
211,10.918,6208,5816,19804,18524,392
212,10.969,6351,5864,19157,18602,487
213,11.021,6731,5888,18805,18440,843
214,11.073,6924,5719,19074,18416,1205
215,11.125,6592,5653,18513,18530,939
216,11.176,5849,5755,18895,18248,94
217,11.228,5965,5731,19096,18632,234
218,11.28,6373,5695,19053,18410,678
219,11.331,7014,5864,18056,18458,1150
220,11.383,6175,5791,18471,18740,384
221,11.435,6268,5713,19705,18626,555
222,11.487,6402,5930,18865,18230,472
223,11.538,5868,5689,18484,18704,179
224,11.59,6328,5737,17300,18362,591
225,11.642,7625,5773,18653,18056,1852
226,11.694,6524,5701,19615,18482,823
227,11.745,7399,5761,18948,18410,1638
228,11.797,6642,5713,18570,18248,929
229,11.849,6546,5840,18689,18662,706
230,11.901,6657,5779,18181,18530,878
231,11.952,6730,5791,18349,18248,939
232,12.004,6492,5991,18667,18500,501
233,12.056,7014,5918,18221,18632,1096
234,12.108,5824,5689,19260,18488,135
235,12.159,6226,5828,19678,18230,398
236,12.211,6152,5852,19125,18086,300
237,12.263,6483,5810,17995,18590,673
238,12.315,7883,5930,18421,18320,1953
239,12.366,6708,5785,19154,18644,923
240,12.418,6602,5870,18724,18542,732
241,12.47,5969,5918,17228,18254,51
242,12.522,6017,5840,19335,18512,177
243,12.573,6100,5804,18981,18290,296
244,12.625,6701,5810,19012,18464,891
245,12.677,6646,5918,19110,18308,728
246,12.729,5827,5930,18128,18710,-103
247,12.78,6057,5906,17264,18128,151
248,12.832,6758,5852,18429,18464,906
249,12.884,6737,5798,18707,18494,939
250,12.935,7546,5816,18322,18548,1730
251,12.987,7069,5785,17849,18356,1284
252,13.039,6985,5882,19494,18752,1103
253,13.091,7349,5731,20092,18380,1618
254,13.142,6344,5846,18632,18404,498
255,13.194,5902,5719,19715,18332,183
256,13.246,7017,5822,18506,18644,1195
257,13.298,7295,5779,19293,18608,1516
258,13.349,5644,5828,18262,18614,-184
259,13.401,5899,5707,20109,18608,192
260,13.453,5593,5701,18807,18674,-108
261,13.505,6034,5689,18098,18506,345
262,13.556,6387,5677,18031,18638,710
263,13.608,7059,5767,18798,18776,1292
264,13.66,6312,5701,19189,18296,611
265,13.712,6504,5628,19505,18920,876
266,13.763,6974,5713,19729,18560,1261
267,13.815,7416,5900,19643,18662,1516
268,13.867,7945,5779,18885,18302,2166
269,13.919,8289,5852,18897,18632,2437
270,13.97,6722,5604,17637,18188,1118
271,14.022,5925,5864,17635,18458,61
272,14.074,6776,5979,19073,18638,797
273,14.126,6179,6039,17691,18152,140
274,14.177,6906,5912,19198,18308,994
275,14.229,7248,5834,19179,18830,1414
276,14.281,6679,5991,19768,18548,688
277,14.333,7032,5822,18261,18380,1210
278,14.384,6408,5804,20148,18674,604
279,14.436,6041,5761,19231,18464,280
280,14.488,5905,5659,18041,18482,246
281,14.54,6350,5713,19443,18440,637
282,14.591,6012,5779,18439,18626,233
283,14.643,5773,5677,20031,18578,96
284,14.695,5830,5719,18552,18572,111
285,14.746,6100,5846,19940,18746,254
286,14.798,6020,5665,19015,18410,355
287,14.85,6003,5640,19048,18668,363
288,14.902,5628,5695,18381,18722,-67
289,14.953,6027,5628,18914,18380,399
290,15.005,5638,5761,18442,18794,-123
291,15.057,6021,5979,18289,18674,42
292,15.109,6313,5846,20202,18506,467
293,15.16,6217,5707,18778,18212,510
