frame,Time [s],CH1,BGND1,CH2,BGND2,intensity
154,7.968,13141,13012,78201,85229,129
155,8.02,14499,13410,77285,84339,1089
156,8.072,12133,13277,81501,86023,-1144
157,8.123,13753,13362,78638,83988,391
158,8.175,12278,12970,78720,84491,-692
159,8.227,13881,13452,76854,85211,429
160,8.279,13203,13290,80552,84170,-87
161,8.33,14548,13494,80200,85102,1054
162,8.382,13449,13753,80159,84054,-304
163,8.434,12847,13012,78765,84963,-165
164,8.486,13882,13211,76889,85587,671
165,8.537,12437,13217,80142,83225,-780
166,8.589,13135,13085,78024,84430,50
167,8.641,13112,13277,77950,84188,-165
168,8.693,12382,13235,77959,84472,-853
169,8.744,12164,13139,79794,84145,-975
170,8.796,12550,12814,78230,84303,-264
171,8.848,13148,13073,79397,83667,75
172,8.9,13091,13139,80340,84061,-48
173,8.951,13078,12904,77336,83970,174
174,9.003,12866,13145,79510,85181,-279
175,9.055,13747,12988,77129,82789,759
176,9.107,12647,12723,81126,84182,-76
177,9.158,13069,12958,75989,85005,111
178,9.21,13322,12964,78585,84921,358
179,9.262,13249,13157,81206,83558,92
180,9.314,12376,12723,76975,83661,-347
181,9.365,12738,12693,76763,84690,45
182,9.417,13349,12904,76776,83667,445
183,9.469,12392,12952,76897,84054,-560
184,9.521,12987,12693,77450,83818,294
185,9.572,13354,12440,76971,84703,914
186,9.624,13221,12958,77388,84121,263
187,9.676,12315,12410,79364,85569,-95
188,9.727,13062,12621,79498,84133,441
189,9.779,13009,12874,78690,84363,135
190,9.831,13137,12747,77928,84460,390
191,9.883,11970,12777,81376,85030,-807
192,9.934,12849,12735,79261,83152,114
193,9.986,13067,12494,77583,83352,573
194,10.038,12851,12537,79127,83782,314
195,10.09,12129,12320,77419,83140,-191
196,10.141,13033,12416,77826,84799,617
197,10.193,12635,12314,78248,84157,321
198,10.245,12342,12422,78870,84030,-80
199,10.297,12567,12241,79357,84006,326
200,10.348,12356,12398,80021,83849,-42
201,10.4,12760,12253,75892,83733,507
202,10.452,12034,12368,78188,83285,-334
203,10.504,12985,12452,80296,83733,533
204,10.555,12982,12470,78914,83231,512
205,10.607,13534,12127,79399,82758,1407
206,10.659,12799,12332,79155,84799,467
207,10.711,12422,12320,80341,83691,102
208,10.762,13249,12627,75643,82674,622
209,10.814,12635,12464,77269,83891,171
210,10.866,12748,12633,80440,82159,115
211,10.918,12562,12609,78254,84266,-47
212,10.969,12500,12645,78822,82734,-145
213,11.021,13617,12482,77511,82861,1135
214,11.073,11970,12537,75229,83297,-567
215,11.125,13608,12506,80938,84327,1102
216,11.176,13135,12428,81181,84678,707
217,11.228,12649,12440,77288,83358,209
218,11.28,12755,12500,77138,83340,255
219,11.331,12373,12446,77110,83521,-73
220,11.383,12100,12139,78159,83546,-39
221,11.435,12183,12585,76987,84109,-402
222,11.487,13170,12488,76298,83431,682
223,11.538,13488,12621,76452,81935,867
224,11.59,12768,12567,76171,82982,201
225,11.642,12494,12422,76178,83637,72
226,11.694,13510,12639,77758,82661,871
227,11.745,14155,12392,77512,82201,1763
228,11.797,12251,11910,78293,82922,341
229,11.849,11770,12061,77497,82219,-291
230,11.901,12007,12217,77895,82019,-210
231,11.952,13104,12223,78078,82080,881
232,12.004,11896,12320,78449,83267,-424
233,12.056,12496,12537,77950,82819,-41
234,12.108,12472,12609,74927,82607,-137
235,12.159,12983,12555,75407,82752,428
236,12.211,12502,12223,80803,82801,279
237,12.263,13217,12036,78918,82982,1181
238,12.315,13272,12247,79111,81698,1025
239,12.366,12340,12199,78868,82038,141
240,12.418,12675,12067,79249,83316,608
241,12.47,12417,12229,78316,83388,188
242,12.522,12374,12030,78818,82867,344
243,12.573,12522,12169,78197,82783,353
244,12.625,12487,12223,78729,82637,264
245,12.677,13454,12187,74384,81832,1267
246,12.729,12311,12006,78929,83158,305
247,12.78,12771,12302,77432,83806,469
248,12.832,12386,11982,79094,82431,404
249,12.884,12302,12205,77305,82795,97
250,12.935,13259,12482,78292,83830,777
251,12.987,13336,12344,75372,83649,992
252,13.039,11302,12458,77758,83425,-1156
253,13.091,11456,12211,77543,82777,-755
254,13.142,11473,12211,79105,83873,-738
255,13.194,12844,12428,77695,82449,416
256,13.246,11984,12187,78237,82159,-203
257,13.298,12646,12434,75307,83091,212
258,13.349,12223,12392,76849,83194,-169
259,13.401,12294,12006,76742,81965,288
260,13.453,12189,12308,74885,82013,-119
261,13.505,12643,12344,76313,82710,299
262,13.556,12053,12181,77082,83291,-128
263,13.608,12661,12416,77216,82837,245
264,13.66,11923,12139,75916,81299,-216
265,13.712,12465,12043,79928,82989,422
266,13.763,13090,11856,79340,81729,1234
267,13.815,12449,11928,76126,83794,521
268,13.867,12456,11964,76250,83055,492
269,13.919,11651,12271,78689,82831,-620
270,13.97,12233,12223,76981,83164,10
271,14.022,12969,11904,76316,81765,1065
272,14.074,12367,12049,75067,82080,318
273,14.126,11981,11711,78422,81614,270
274,14.177,12911,12061,76736,83364,850
275,14.229,13109,11892,76455,83903,1217
276,14.281,12642,12163,76514,81832,479
277,14.333,12370,11928,76627,83146,442
278,14.384,12191,12440,77736,83873,-249
279,14.436,13004,12055,76366,82752,949
280,14.488,12654,12103,77676,81311,551
281,14.54,12248,12290,77078,82843,-42
282,14.591,11877,12055,79952,83176,-178
283,14.643,13291,12368,77252,82019,923
284,14.695,12562,12579,75832,81892,-17
285,14.746,13070,12241,76026,82843,829
286,14.798,13405,12205,77425,82989,1200
287,14.85,11798,12085,78519,81698,-287
288,14.902,14008,12211,79767,81959,1797
289,14.953,12213,12127,77266,82534,86
290,15.005,11891,11838,75570,83473,53
291,15.057,11713,11892,76736,82371,-179
292,15.109,13575,11765,78649,82347,1810
293,15.16,12589,11916,80884,81287,673
294,15.212,13109,12000,75949,82141,1109
295,15.264,13470,12127,76798,82995,1343
296,15.316,12579,12163,78663,82371,416
297,15.367,12212,11958,78029,82668,254
298,15.419,11557,11826,76271,81965,-269
299,15.471,12571,11868,78072,81099,703
300,15.523,12323,12169,76648,83049,154
301,15.574,11974,12012,77561,82982,-38
302,15.626,12141,12115,77778,82940,26
303,15.678,13183,12163,78874,82565,1020
304,15.73,12746,12073,77320,82589,673
305,15.781,12878,11880,77295,83007,998
306,15.833,12630,11651,78663,82886,979
307,15.885,12086,11976,78555,82510,110
308,15.937,12307,11735,75514,82328,572
309,15.988,12717,12024,79902,82680,693
310,16.04,13083,12079,78248,82340,1004
311,16.092,11940,12085,76641,82425,-145
312,16.144,12837,12145,76411,81801,692
313,16.195,12271,11922,75539,82528,349
314,16.247,12060,12018,76794,81347,42
315,16.299,12621,11826,77249,81983,795
316,16.35,14553,11820,78886,83546,2733
317,16.402,15064,11934,76987,82528,3130
318,16.454,14587,12049,74312,81874,2538
319,16.506,13097,11741,75528,80978,1356
320,16.557,12305,12079,77718,82916,226
321,16.609,13340,11771,77146,82135,1569
322,16.661,12778,11753,77262,82595,1025
323,16.713,12231,11844,77174,82655,387
324,16.764,11479,11838,75313,81438,-359
325,16.816,12409,11820,76932,81353,589
326,16.868,12770,11832,75739,81553,938
327,16.92,11984,12109,79050,82310,-125
328,16.971,12453,12229,75637,82583,224
329,17.023,13725,12115,76540,81238,1610
330,17.075,12358,11783,78707,82340,575
331,17.127,11864,11555,76064,82250,309
332,17.178,12573,11916,75651,81602,657
333,17.23,12153,11482,76653,81789,671
334,17.282,12957,12145,75985,82552,812
335,17.334,14042,12326,77737,81807,1716
336,17.385,12206,12404,74413,81892,-198
337,17.437,11382,12199,77785,82001,-817
338,17.489,11816,11663,77840,82074,153
339,17.541,11850,11681,76614,81904,169
340,17.592,12410,11705,79595,82468,705
341,17.644,11734,11555,76727,82540,179
342,17.696,11737,11832,78574,81577,-95
343,17.748,11443,11771,77669,83091,-328
344,17.799,11540,11808,76973,81196,-268
345,17.851,12762,12344,73253,81892,418
346,17.903,12693,12006,76391,82365,687
347,17.954,11596,11964,74751,81511,-368
348,18.006,12296,11826,77038,81868,470
349,18.058,12828,11940,78322,81807,888
350,18.11,13848,11892,78098,81717,1956
351,18.161,12033,11850,78788,80348,183
352,18.213,12055,12079,78458,81499,-24
353,18.265,13952,11862,76036,81256,2090
354,18.317,12932,12012,76404,81977,920
355,18.368,12942,12398,75636,81383,544
356,18.42,12658,12320,72845,81329,338
357,18.472,12624,12127,77579,80735,497
358,18.524,12490,12223,77140,80590,267
359,18.575,13259,12036,76814,80735,1223
360,18.627,12668,11982,75132,81214,686
361,18.679,11726,12163,76670,82540,-437
362,18.731,12518,12061,79113,83358,457
363,18.782,12423,12169,74317,80305,254
364,18.834,12499,12235,75781,81347,264
365,18.886,12961,12061,77179,80457,900
366,18.938,13105,12229,76765,81644,876
367,18.989,11620,12169,77883,82431,-549
368,19.041,13110,12133,77953,80523,977
369,19.093,13035,12416,77586,81765,619
370,19.145,12127,12320,75086,81075,-193
371,19.196,12047,12603,77083,82044,-556
372,19.248,12089,12765,77038,81795,-676
373,19.3,13085,12549,76027,81614,536
374,19.352,13049,12796,77210,81977,253
375,19.403,12145,12163,77636,82007,-18
376,19.455,12654,12488,76990,81789,166
377,19.507,12774,12163,76993,80935,611
378,19.558,12371,12145,75286,81268,226
379,19.61,12393,12422,76208,81111,-29
380,19.662,12495,12235,75352,81898,260
381,19.714,12979,12314,74231,79948,665
382,19.765,13395,12211,80009,82655,1184
383,19.817,11707,12464,76830,82231,-757
384,19.869,12468,12253,78689,80917,215
385,19.921,11578,12428,76551,81977,-850
386,19.972,12705,12103,76595,81262,602
387,20.024,12447,12356,77652,81589,91
388,20.076,12774,12277,76121,81281,497
389,20.128,12517,12434,77914,81184,83
390,20.179,12558,12543,77733,79930,15
391,20.231,12058,12073,75501,80190,-15
392,20.283,12480,11874,79019,81032,606
393,20.335,11997,12488,80018,82334,-491
394,20.386,12074,12518,77599,81814,-444
395,20.438,12138,12103,76053,81129,35
396,20.49,11976,12151,73983,81196,-175
397,20.542,11865,12398,77607,81801,-533
398,20.593,12592,12440,76204,81486,152
399,20.645,12460,12416,77172,80384,44
400,20.697,12732,12043,78846,80542,689
401,20.749,12405,12488,75517,81929,-83
402,20.8,13147,12428,74905,80639,719
403,20.852,12055,12398,74756,79827,-343
404,20.904,12477,12338,78106,80705,139
405,20.956,12054,11940,74413,80154,114
406,21.007,11910,11916,76600,81317,-6
407,21.059,12319,11663,75300,81674,656
408,21.111,11256,12097,77354,80457,-841
409,21.162,12711,12079,78749,81274,632
410,21.214,12193,11615,75960,81480,578
411,21.266,11061,12006,75055,80330,-945
412,21.318,12511,12199,78934,81008,312
413,21.369,11449,12235,78691,81583,-786
414,21.421,12796,12223,76140,82171,573
415,21.473,12539,12350,77332,80469,189
416,21.525,13336,12091,76761,79984,1245
417,21.576,12888,11723,75950,81329,1165
418,21.628,12053,11844,78255,80427,209
419,21.68,12781,12103,76883,80269,678
420,21.732,12682,12229,75064,80251,453
421,21.783,12595,12326,74937,81268,269
422,21.835,12424,12404,76494,80433,20
423,21.887,13405,12404,75721,80772,1001
424,21.939,12031,12133,76659,81062,-102
425,21.99,12143,12332,74637,80675,-189
426,22.042,12781,12555,77889,81396,226
427,22.094,12004,12036,77732,81868,-32
428,22.146,12130,12398,77384,81123,-268
429,22.197,12495,12241,76763,81214,254
430,22.249,13618,12314,77179,80239,1304
431,22.301,13010,12374,77896,80221,636
432,22.353,13631,12091,75373,81692,1540
433,22.404,13798,12187,76564,80499,1611
434,22.456,12297,12579,78039,81450,-282
435,22.508,12563,12030,75355,81196,533
436,22.56,12181,11850,77944,81238,331
437,22.611,12868,12362,75624,82437,506
438,22.663,12329,11982,77168,81965,347
439,22.715,12881,12446,77395,80511,435
440,22.766,12308,12428,76148,81123,-120
441,22.818,12936,12217,78095,81559,719
442,22.87,12418,12488,76046,80487,-70
443,22.922,13243,12326,75075,80778,917
444,22.973,11789,12205,76577,81462,-416
445,23.025,11654,11904,76336,80657,-250
446,23.077,12640,11988,77803,81717,652
447,23.129,12896,11928,75800,80857,968
448,23.18,13002,12296,74971,81402,706
449,23.232,11893,11934,78844,80923,-41
450,23.284,11867,12645,75782,81244,-778
451,23.336,11627,12241,78453,80929,-614
452,23.387,12888,11916,80287,80857,972
453,23.439,12252,12115,77409,81099,137
454,23.491,12441,11940,76560,80645,501
455,23.543,11579,12145,75690,80602,-566
456,23.594,12605,12157,78171,81983,448
457,23.646,12352,12030,77936,79457,322
458,23.698,11634,12043,76847,81686,-409
459,23.75,13374,12199,77922,80820,1175
460,23.801,13054,12549,74188,81977,505
461,23.853,13764,12458,77288,81293,1306
462,23.905,14821,12440,76637,82486,2381
463,23.957,12853,12675,76953,81511,178
464,24.008,12667,12259,78265,80414,408
465,24.06,11833,12314,79500,80318,-481
466,24.112,11955,12145,77224,82032,-190
467,24.164,13650,11856,78266,81668,1794
468,24.215,13137,12308,78615,80239,829
469,24.267,12180,12296,77315,81105,-116
470,24.319,12759,11868,77087,81196,891
471,24.37,12493,11639,76850,81008,854
472,24.422,11616,11777,75177,81165,-161
473,24.474,11895,11561,77365,80142,334
474,24.526,12505,11796,78812,81178,709
475,24.577,12166,11928,75991,81056,238
476,24.629,12330,11783,79564,81353,547
477,24.681,12344,11783,76844,79676,561
478,24.733,12879,12055,75086,81153,824
479,24.784,12594,11729,74725,80590,865
480,24.836,12084,11555,75087,81759,529
481,24.888,11696,11723,78118,81747,-27
482,24.94,12021,11771,78644,80639,250
483,24.991,11616,12018,76942,80699,-402
484,25.043,13632,11904,77036,81874,1728
485,25.095,11374,12199,78073,81916,-825
486,25.147,12090,11639,78529,79748,451
487,25.198,11875,11681,76804,81147,194
488,25.25,11992,11711,75825,80681,281
489,25.302,12318,11711,74108,79997,607
490,25.354,13125,12181,78053,80027,944
491,25.405,13553,12151,77173,82050,1402
492,25.457,12204,12253,77769,81765,-49
493,25.509,12025,12079,75639,79112,-54
494,25.561,11776,12205,73168,81686,-429
495,25.612,12681,11561,75659,80626,1120
496,25.664,12251,11573,76546,81147,678
497,25.716,12468,11832,79066,80705,636
498,25.768,12494,11506,75605,80305,988
499,25.819,11337,11802,76719,79464,-465
500,25.871,11883,11904,75966,80748,-21
501,25.923,12263,11994,79133,81056,269
502,25.974,12207,12217,76349,79948,-10
503,26.026,12920,12043,76333,81438,877
504,26.078,12672,12344,78667,80324,328
505,26.13,13162,11886,78805,79827,1276
506,26.181,12802,12079,77832,80487,723
507,26.233,12443,11735,74695,79772,708
508,26.285,12209,11976,79326,80190,233
509,26.337,12682,11796,76947,81075,886
510,26.388,11690,12012,76739,80384,-322
511,26.44,11895,12368,77518,80396,-473
512,26.492,12233,11952,77917,81287,281
513,26.544,14345,12193,78679,81856,2152
514,26.595,13661,12121,78333,81129,1540
515,26.647,12400,12030,75638,80160,370
516,26.699,12074,12030,77583,80160,44
517,26.751,12568,11687,78681,81238,881
518,26.802,11391,11802,78257,79524,-411
519,26.854,11802,11699,75757,81692,103
520,26.906,12165,11802,76241,80063,363
521,26.958,11416,12229,75938,80505,-813
522,27.009,12028,12350,79807,81783,-322
523,27.061,11784,12000,77549,80735,-216
524,27.113,13026,11777,75779,80106,1249
525,27.165,12526,11844,76149,80778,682
526,27.216,13021,11946,78594,79082,1075
527,27.268,11910,11777,77222,82062,133
528,27.32,11813,11910,78664,81220,-97
529,27.372,13334,11814,79644,80838,1520
530,27.423,12584,11868,77422,80669,716
531,27.475,12312,11844,78474,79954,468
532,27.527,13099,11958,76512,80420,1141
533,27.578,12361,11856,77848,80796,505
534,27.63,13361,11476,78185,80287,1885
535,27.682,11810,11609,76849,80851,201
536,27.734,13088,11597,76986,80996,1491
537,27.785,12975,11579,78739,81589,1396
538,27.837,12020,11482,77608,79548,538
539,27.889,15900,11530,75814,81014,4370
540,27.941,15457,11536,78581,81844,3921
541,27.992,14789,11591,76832,81589,3198
542,28.044,16074,11603,77838,79300,4471
543,28.096,15650,11506,77926,81462,4144
544,28.148,16371,12055,75767,78858,4316
545,28.199,16096,11741,77690,81396,4355
546,28.251,17194,12018,75833,81129,5176
