137,175.84,68.11,897.47,10500,1964,1964
138,175.84,68.11,897.47,8457,1319,1319
139,175.84,68.11,897.47,9078,1594,1594
140,175.84,68.11,897.47,9900,1689,1689
141,175.84,68.11,897.47,10073,1907,1907
142,175.84,68.11,897.47,9509,1582,1582
143,175.84,68.11,897.47,8397,1281,1281
144,175.84,68.11,897.47,8505,1244,1244
145,175.84,68.11,897.47,7360,1240,1240
146,175.84,68.11,897.47,8224,1364,1364
147,175.84,68.11,897.47,8394,1574,1574
148,175.84,68.11,897.47,7890,1406,1406
149,175.84,68.11,897.47,8182,1341,1341
150,175.84,68.11,897.47,9515,1577,1577
151,175.84,68.11,897.47,7873,1248,1248
152,175.84,68.11,897.47,9002,1614,1614
153,175.84,68.11,897.47,7777,1239,1239
154,175.84,68.11,897.47,8691,1449,1449
155,175.84,68.11,897.47,9242,1593,1593
156,175.84,68.11,897.47,10178,1876,1876
157,175.84,68.11,897.47,9646,1812,1812
158,175.84,68.11,897.47,9596,1771,1771
159,175.84,68.11,897.47,8824,1581,1581
160,175.84,68.11,897.47,8685,1484,1484
161,175.84,68.11,897.47,8390,1510,1510
162,175.84,68.11,897.47,8899,1383,1383
163,175.84,68.11,897.47,6981,1251,1251
164,175.84,68.11,897.47,8110,1271,1271
165,175.84,68.11,897.47,7849,1049,1049
166,175.84,68.11,897.47,7682,960,960
167,175.84,68.11,897.47,8063,1090,1090
168,175.84,68.11,897.47,7721,940,940
169,175.84,68.11,897.47,8209,913,913
170,175.84,68.11,897.47,8736,1200,1200
171,175.84,68.11,897.47,7950,944,944
172,175.84,68.11,897.47,8938,1147,1147
173,175.84,68.11,897.47,8543,1171,1171
174,175.84,68.11,897.47,8630,1244,1244
175,175.84,68.11,897.47,8393,1358,1358
176,175.84,68.11,897.47,8067,1037,1037
177,175.84,68.11,897.47,8035,1217,1217
178,175.84,68.11,897.47,7516,1126,1126
179,175.84,68.11,897.47,6986,1002,1002
180,175.84,68.11,897.47,7093,1022,1022
181,175.84,68.11,897.47,7486,1153,1153
182,175.84,68.11,897.47,8324,1224,1224
183,175.84,68.11,897.47,8292,1379,1379
184,175.84,68.11,897.47,8284,1189,1189
185,175.84,68.11,897.47,8346,1382,1382
186,175.84,68.11,897.47,8325,1442,1442
187,175.84,68.11,897.47,8549,1419,1419
188,175.84,68.11,897.47,7838,1257,1257
189,175.84,68.11,897.47,8169,1040,1040
190,175.84,68.11,897.47,7176,739,739
191,175.84,68.11,897.47,7325,716,716
192,175.84,68.11,897.47,7486,732,732
193,175.84,68.11,897.47,6385,573,573
194,175.84,68.11,897.47,7283,865,865
195,175.84,68.11,897.47,6504,694,694
196,175.84,68.11,897.47,6611,654,654
197,175.84,68.11,897.47,7029,1026,1026
198,175.84,68.11,897.47,7069,1056,1056
199,175.84,68.11,897.47,6912,898,898
200,175.84,68.11,897.47,6933,845,845
201,175.84,68.11,897.47,6076,873,873
202,175.84,68.11,897.47,8690,1537,1537
203,175.84,68.11,897.47,11999,2499,2499
204,175.84,68.11,897.47,12028,2116,2116
205,175.84,68.11,897.47,9835,1751,1751
206,175.84,68.11,897.47,7682,1282,1282
207,175.84,68.11,897.47,6118,797,797
208,175.84,68.11,897.47,7707,1322,1322
209,175.84,68.11,897.47,7788,1163,1163
210,175.84,68.11,897.47,8503,1466,1466
211,175.84,68.11,897.47,6931,706,706
212,175.84,68.11,897.47,6762,861,861
213,175.84,68.11,897.47,7266,1031,1031
214,175.84,68.11,897.47,5730,638,638
215,175.84,68.11,897.47,5882,711,711
216,175.84,68.11,897.47,6505,901,901
217,175.84,68.11,897.47,5604,697,697
218,175.84,68.11,897.47,6179,885,885
219,175.84,68.11,897.47,6633,950,950
220,175.84,68.11,897.47,9136,1829,1829
221,175.84,68.11,897.47,6742,987,987
222,175.84,68.11,897.47,7822,1178,1178
223,175.84,68.11,897.47,7900,1322,1322
224,175.84,68.11,897.47,6512,818,818
225,175.84,68.11,897.47,5973,735,735
226,175.84,68.11,897.47,6040,692,692
227,175.84,68.11,897.47,6562,702,702
228,175.84,68.11,897.47,6516,738,738
229,175.84,68.11,897.47,6329,567,567
230,175.84,68.11,897.47,6351,690,690
231,175.84,68.11,897.47,6182,790,790
232,175.84,68.11,897.47,6468,574,574
233,175.84,68.11,897.47,6481,642,642
234,175.84,68.11,897.47,6631,704,704
235,175.84,68.11,897.47,6365,753,753
236,175.84,68.11,897.47,5692,732,732
237,175.84,68.11,897.47,6615,860,860
238,175.84,68.11,897.47,5679,669,669
239,175.84,68.11,897.47,5935,805,805
240,175.84,68.11,897.47,6134,739,739
241,175.84,68.11,897.47,6172,672,672
242,175.84,68.11,897.47,5878,575,575
243,175.84,68.11,897.47,6395,824,824
244,175.84,68.11,897.47,5832,591,591
245,175.84,68.11,897.47,5622,489,489
246,175.84,68.11,897.47,6051,572,572
247,175.84,68.11,897.47,5742,731,731
248,175.84,68.11,897.47,6003,634,634
249,175.84,68.11,897.47,5794,604,604
250,175.84,68.11,897.47,6631,815,815
251,175.84,68.11,897.47,5738,364,364
252,175.84,68.11,897.47,7030,789,789
253,175.84,68.11,897.47,5961,695,695
254,175.84,68.11,897.47,5687,704,704
255,175.84,68.11,897.47,6590,425,425
256,175.84,68.11,897.47,5961,475,475
257,175.84,68.11,897.47,6379,516,516
258,175.84,68.11,897.47,6260,551,551
259,175.84,68.11,897.47,5499,392,392
260,175.84,68.11,897.47,6530,660,660
261,175.84,68.11,897.47,6384,376,376
262,175.84,68.11,897.47,6072,576,576
263,175.84,68.11,897.47,6380,503,503
264,175.84,68.11,897.47,6717,628,628
265,175.84,68.11,897.47,6362,397,397
266,175.84,68.11,897.47,5987,398,398
267,175.84,68.11,897.47,5879,306,306
268,175.84,68.11,897.47,5828,413,413
269,175.84,68.11,897.47,5963,665,665
270,175.84,68.11,897.47,6700,765,765
271,175.84,68.11,897.47,6464,537,537
272,175.84,68.11,897.47,5953,482,482
273,175.84,68.11,897.47,5633,337,337
274,175.84,68.11,897.47,5310,233,233
275,175.84,68.11,897.47,6025,630,630
276,175.84,68.11,897.47,5834,677,677
277,175.84,68.11,897.47,5913,634,634
278,175.84,68.11,897.47,6376,757,757
279,175.84,68.11,897.47,6098,571,571
280,175.84,68.11,897.47,6642,680,680
281,175.84,68.11,897.47,6255,576,576
282,175.84,68.11,897.47,6554,602,602
283,175.84,68.11,897.47,6218,477,477
284,175.84,68.11,897.47,5915,506,506
285,175.84,68.11,897.47,7041,826,826
286,175.84,68.11,897.47,7777,983,983
287,175.84,68.11,897.47,7262,789,789
288,175.84,68.11,897.47,8486,842,842
289,175.84,68.11,897.47,6960,725,725
