287,213.48,200.04,5524.16,0,1.84,-1,0,1,-1.68,1
288,213.27,201.02,4360.47,0,2.66,-1,0,1,2.73,1.12
289,214.39,201.12,3920.81,0,2.72,-1,0,1,-1.98,0.97
290,213.46,201.43,8986,2795.23,0.35,-1,0,1,-2,0.39
291,213.72,201.72,4149.33,0,2.05,-1,0,1,-2.24,1.14
292,214.18,200.68,1991.56,2367.71,1.19,-1,0,1,2.02,0.95
293,213.26,200.92,5035.43,0,2.92,-1,0,1,2.64,1.06
294,213.47,199.88,5535.14,0,2.08,-1,0,1,0.35,0.67
296,213.67,200.51,2787.87,2621.61,1,-1,0,1,1.82,0.99
297,213.63,201.51,10972.95,3240.88,0.34,-1,0,1,-1.92,0.33
299,213.31,201.41,1492.78,2490.73,0.71,-1,0,1,-2.14,0.37
302,213.33,201.78,3516.51,0,1.81,-1,0,1,-2.18,0.36
304,213.63,201.57,1841.42,2647.09,0.48,-1,0,1,-2.21,0.27
305,213.37,201.48,3954.07,2570.39,0.39,-1,0,1,-2.77,0.76
307,213.59,202.21,3444.23,0,2.26,-1,0,1,2.66,1.48
308,213.71,200.73,1118.84,2879.18,0.63,-1,0,1,1.14,0.45
309,213.89,201.14,3288.2,0.27,3,-1,0,1,-2.03,0.33
310,213.67,201.39,6467.89,2602.03,0.31,-1,0,1,1.26,0.85
311,214.49,201.62,1602.68,2337.97,1.03,-1,0,1,2.53,1.26
312,214.53,202.88,2692.82,0,2.83,-1,0,1,1.1,1.54
314,213.61,201.65,3686.64,0,1.91,-1,0,1,2.26,0.51
316,213.83,201.19,2784.51,2472.2,0.94,-1,0,1,2.49,0.47
318,214.03,201.61,1889.52,2590.12,0.74,-1,0,1,1.76,0.26
319,213.8,201.49,3088.57,1736.73,1.24,-1,0,1,2.65,1.56
320,214.78,200.28,5082.4,0,2.95,-1,0,1,1.59,0.64
323,214.66,200.91,2863.33,1177.68,3,-1,0,1,2.84,1.27
324,213.42,200.64,9666.12,3024.65,0.3,-1,0,1,1.69,0.3
325,213.72,200.61,4747.12,0,2.1,-1,0,1,-3.13,0.72
326,213.7,201.34,2358.76,2185.09,0.85,-1,0,1,0.17,1.38
329,213.75,199.96,6679.17,0,1.85,-1,0,1,2.96,1.06
330,213.96,198.92,6186.47,0.65,3,-1,0,1,0.9,2.18
333,213.92,201.1,4173.2,0,2.91,-1,0,1,-1.59,0.54
334,213.48,201.43,9791.26,3001.48,0.35,-1,0,1,-2.72,0.02
336,213.5,201.44,7548,2593.44,0.33,-1,0,1,1.29,0.91
337,213.28,200.57,3499.38,0,2.34,-1,0,1,1,0.1
339,213.37,200.51,7916.13,3081.73,0.3,-1,0,1,-2.97,0.43
341,213.75,200.71,1582.71,2578.58,0.78,-1,0,1,-2.55,0.28
342,213.53,200.54,7912,2765.51,0.34,-1,0,1,1.87,0.83
343,213.8,201.32,3460.76,0,2.3,-1,0,1,-3.03,0.53
344,213.27,201.34,2890.11,2665.27,0.48,-1,0,1,-2.46,0.7
347,213.97,201.39,1652.88,1991.73,1.05,-1,0,1,-1.85,0.42
350,213.67,201.11,3575.93,0,2.18,-1,0,1,-2.66,1.97
352,212.77,202.87,0,2881.83,0.61,-1,0,1,-2.3,2.2
353,214.57,201.59,2232.58,2607.8,0.83,-1,0,1,-2.88,0.96
354,213.63,201.38,3583.44,0,2.17,-1,0,1,-2.12,0.47
355,214.04,201.59,1197.23,2433.72,0.75,-1,0,1,-2.95,0.78
356,213.99,200.82,2983.87,688.18,1.85,-1,0,1,1.63,0.11
357,213.98,200.92,1301.59,2626.41,0.61,-1,0,1,1.92,0.68
359,213.31,200.79,3017.36,0,2.27,-1,0,1,2.53,0.27
360,213.45,200.56,7610,2668.71,0.32,-1,0,1,3.12,0.94
361,213.51,201.5,6519.34,2661.75,0.34,-1,0,1,2.19,0.78
362,213.44,200.73,3901.17,0,2.05,-1,0,1,1.68,0.32
364,213.72,200.88,1939.24,2279.28,0.96,-1,0,1,2.73,0.66
367,213.33,201.41,2160.54,2571.08,0.75,-1,0,1,2.1,0.91
369,213.53,200.52,9150.84,3118.82,0.35,-1,0,1,1.32,0.38
371,213.8,200.78,1968.93,2733.01,0.8,-1,0,1,-1.63,0.36
372,213.63,201.1,3514.46,0,2.69,-1,0,1,2.49,0.48
373,214.06,201.3,3731.41,0,2.31,-1,0,1,2.22,0.88
374,213.2,201.49,1500.28,2420.69,0.77,-1,0,1,2.67,0.91
375,213.59,200.66,1821.86,2441.85,0.77,-1,0,1,2.78,0.87
376,213.61,201.53,8306,2550.86,0.34,-1,0,1,0.52,0.21
377,213.54,201.34,6035.61,2551.1,0.31,-1,0,1,-1.95,0.76
378,213.64,200.59,2318.78,1678.94,1.33,-1,0,1,-2.71,0.28
379,213.37,200.65,6426.18,2678.31,0.3,-1,0,1,1.81,0.21
380,213.57,200.69,3361.09,0,2.7,-1,0,1,2.27,0.83
381,213.23,201.45,1785.39,2266.35,0.69,-1,0,1,1.58,0.33
384,213.09,201.15,1323,2473.62,0.79,-1,0,1,-1.93,0.84
385,213.84,200.79,1370.95,2508.96,0.9,-1,0,1,-1.6,0.3
