frame,Time [s],CH1,BGND1,CH2,BGND2,intensity
154,7.968,8170,7316,23350,24443,854
155,8.02,7846,7088,22936,23719,758
156,8.072,7218,7040,22718,23954,178
157,8.123,7356,7112,24439,24250,244
158,8.175,8012,7256,23272,23828,756
159,8.227,7234,7352,24775,24388,-118
160,8.279,7931,7418,25880,24292,513
161,8.33,7624,7088,23892,24310,536
162,8.382,7444,7166,24353,24093,278
163,8.434,7930,7292,24502,24491,638
164,8.486,7235,7256,23480,24003,-21
165,8.537,7240,7202,23904,24189,38
166,8.589,7235,7202,24652,24340,33
167,8.641,8081,7406,25097,24189,675
168,8.693,7350,7256,24423,24292,94
169,8.744,7498,7244,22612,24340,254
170,8.796,7197,7082,23009,24473,115
171,8.848,7627,7358,24108,24087,269
172,8.9,7326,7388,22676,24443,-62
173,8.951,7976,7220,23814,24021,756
174,9.003,7987,7400,23837,24497,587
175,9.055,8305,7503,25325,24406,802
176,9.107,7610,7521,22209,24593,89
177,9.158,7843,7364,24769,24171,479
178,9.21,7088,7304,24057,24419,-216
179,9.262,8065,7418,24374,23912,647
180,9.314,8222,7437,23796,24093,785
181,9.365,7653,7503,23811,24177,150
182,9.417,7070,7226,23865,24159,-156
183,9.469,7390,7310,23837,24256,80
184,9.521,7317,7455,23553,24039,-138
185,9.572,8856,7455,25536,24473,1401
186,9.624,9447,7707,24793,24177,1740
187,9.676,7686,7677,23226,24232,9
188,9.727,10105,7515,23731,24479,2590
189,9.779,9409,7455,23545,24027,1954
190,9.831,8825,7382,24097,24340,1443
191,9.883,9099,7166,24021,24238,1933
192,9.934,8132,7238,23259,24099,894
193,9.986,9285,7238,24782,24141,2047
194,10.038,10093,7178,22834,23798,2915
195,10.09,8815,7406,22308,24268,1409
196,10.141,11153,7839,24394,24147,3314
197,10.193,9625,7725,24108,24443,1900
198,10.245,9010,7515,23359,23888,1495
199,10.297,7771,7400,23650,24165,371
200,10.348,8137,7394,23849,24485,743
201,10.4,9077,7533,24641,24533,1544
202,10.452,7936,7352,24684,24159,584
203,10.504,8467,7280,24350,24557,1187
204,10.555,8569,7238,25897,24575,1331
205,10.607,7406,7070,25419,24503,336
206,10.659,8497,7467,23014,24183,1030
207,10.711,9544,7274,25160,24153,2270
208,10.762,9391,7112,24036,24449,2279
209,10.814,10051,7178,24102,23900,2873
210,10.866,8340,7238,24531,24262,1102
211,10.918,7687,7232,23940,24352,455
212,10.969,8373,7352,24794,24256,1021
213,11.021,7706,7220,24181,24599,486
214,11.073,7521,7418,24372,24226,103
215,11.125,8266,7238,25080,24473,1028
216,11.176,7519,7250,24481,24515,269
217,11.228,8754,7569,23997,24129,1185
218,11.28,8415,7316,23040,24406,1099
219,11.331,8195,7082,25203,24268,1113
220,11.383,7864,7100,24521,23930,764
221,11.435,7911,7220,25787,24015,691
222,11.487,8570,7491,26211,24431,1079
223,11.538,9219,7388,24538,24262,1831
224,11.59,8390,7058,24122,24370,1332
225,11.642,9148,7244,24098,24382,1904
226,11.694,9185,7322,23770,24750,1863
227,11.745,9362,7352,24163,24708,2010
228,11.797,9948,7461,24701,24081,2487
229,11.849,10739,7298,23927,24274,3441
230,11.901,10401,7328,23967,24503,3073
231,11.952,8762,7262,23640,24316,1500
232,12.004,9051,7292,25935,24491,1759
233,12.056,10601,7214,23523,24425,3387
234,12.108,9925,7328,25458,24153,2597
235,12.159,10406,7196,24009,24340,3210
236,12.211,9823,7292,24424,24105,2531
237,12.263,9473,7250,24248,24750,2223
238,12.315,11427,7220,23258,24105,4207
239,12.366,9524,7334,24540,24473,2190
240,12.418,10485,7340,23399,24328,3145
241,12.47,9701,7449,23309,24189,2252
242,12.522,10896,7208,23790,24527,3688
243,12.573,10529,7346,24699,24352,3183
244,12.625,9574,7406,25234,24394,2168
245,12.677,10838,7172,24801,24419,3666
246,12.729,10208,7412,25314,23960,2796
247,12.78,9478,7473,23832,24340,2005
248,12.832,9527,7202,24236,24455,2325
249,12.884,9862,7491,23123,24672,2371
250,12.935,8566,7154,25489,24196,1412
251,12.987,9706,7124,23901,24298,2582
252,13.039,9385,7352,24519,24364,2033
253,13.091,9307,7364,22655,24298,1943
254,13.142,9935,7370,24580,24322,2565
255,13.194,9826,7280,23889,24033,2546
256,13.246,7652,7184,25402,24461,468
257,13.298,7904,7340,22796,24238,564
258,13.349,9414,7473,23875,24352,1941
259,13.401,9637,7226,24184,24364,2411
260,13.453,9492,7424,23667,24551,2068
261,13.505,10149,7226,24456,23906,2923
262,13.556,9824,7160,25829,24738,2664
263,13.608,10555,7208,23890,24159,3347
264,13.66,8885,7148,23772,24503,1737
265,13.712,10432,7521,24676,24286,2911
266,13.763,10086,7208,24877,24340,2878
267,13.815,8948,7142,25339,24437,1806
268,13.867,7424,7178,23423,24069,246
269,13.919,7632,7292,23358,24009,340
270,13.97,8701,7184,24124,24623,1517
271,14.022,7835,7028,24447,24352,807
272,14.074,7818,7130,24253,24352,688
273,14.126,8069,7334,24866,24630,735
274,14.177,7736,7382,24805,24189,354
275,14.229,7713,7190,23148,24274,523
276,14.281,7428,7172,23885,24413,256
277,14.333,8010,7238,24061,24262,772
278,14.384,6516,7106,23528,24533,-590
279,14.436,7157,7130,23612,24262,27
280,14.488,7119,7244,25426,24467,-125
281,14.54,7011,7418,25230,24364,-407
282,14.591,6910,7214,24982,24461,-304
283,14.643,7194,7202,22961,24376,-8
284,14.695,7218,7244,24521,24075,-26
285,14.746,7790,7226,23053,24400,564
286,14.798,6768,7178,23796,24310,-410
287,14.85,7466,7106,25405,24051,360
288,14.902,7139,7346,24439,24177,-207
289,14.953,7083,7088,21982,24123,-5
290,15.005,7076,7304,23682,24268,-228
291,15.057,6935,7605,24540,24364,-670
292,15.109,7731,7340,25076,24419,391
293,15.16,7500,7322,24506,24479,178
294,15.212,7013,7304,24494,24027,-291
295,15.264,7136,7262,23455,24322,-126
296,15.316,7641,7148,22813,24051,493
297,15.367,7135,7106,25030,24250,29
298,15.419,8678,7376,23697,24292,1302
299,15.471,9932,7340,25611,24431,2592
300,15.523,9197,7244,25071,24364,1953
301,15.574,10187,7400,24516,24732,2787
302,15.626,8243,7148,24359,24310,1095
303,15.678,10533,7394,24014,24491,3139
304,15.73,8615,7166,24329,24244,1449
305,15.781,7131,7310,23996,24467,-179
306,15.833,7560,7286,24218,24431,274
307,15.885,7289,7118,24098,24039,171
308,15.937,7266,7262,23453,24479,4
309,15.988,7901,7226,25492,24419,675
310,16.04,7115,7250,24177,24455,-135
311,16.092,7179,7292,23800,24437,-113
312,16.144,7400,7322,26540,24262,78
313,16.195,8079,7340,25477,23912,739
314,16.247,7670,7304,23551,24443,366
315,16.299,7665,7070,24735,24449,595
316,16.35,7281,7124,24237,24382,157
317,16.402,7559,7244,23331,24021,315
318,16.454,7546,7226,24097,24334,320
319,16.506,7549,7473,24374,24370,76
320,16.557,7286,7070,22734,24479,216
321,16.609,8907,7250,23466,24419,1657
322,16.661,8391,7443,25569,24648,948
323,16.713,7616,7094,24842,24678,522
324,16.764,7641,7076,25065,24262,565
325,16.816,7549,7040,22898,24334,509
326,16.868,7373,7256,24409,24214,117
327,16.92,7559,7298,24601,24611,261
328,16.971,7535,7358,25907,24503,177
329,17.023,7884,7196,24399,24449,688
330,17.075,7065,7250,23380,24617,-185
331,17.127,7727,7280,24732,24364,447
332,17.178,7129,7244,25958,24455,-115
333,17.23,6718,7274,24402,24256,-556
334,17.282,7404,7232,23719,24286,172
335,17.334,7012,7100,24499,24340,-88
336,17.385,7599,7298,24147,24599,301
337,17.437,7716,7220,23989,24461,496
338,17.489,7543,7166,23776,23840,377
339,17.541,7775,7136,23341,24346,639
340,17.592,6865,7118,23915,23762,-253
341,17.644,7069,7088,23864,24268,-19
342,17.696,7103,7232,24447,24280,-129
343,17.748,7896,7172,23965,24720,724
344,17.799,7550,7280,23298,24599,270
345,17.851,7484,7190,24077,24575,294
346,17.903,6989,7136,24022,24400,-147
347,17.954,7706,7238,24058,24388,468
348,18.006,7850,7082,23098,24075,768
349,18.058,7461,7304,23959,24322,157
350,18.11,8138,7136,24655,23876,1002
351,18.161,7396,7100,24364,24063,296
352,18.213,7611,7016,24109,24208,595
353,18.265,7363,7232,25170,24177,131
354,18.317,6980,7208,24811,23979,-228
355,18.368,7324,7220,24944,24599,104
356,18.42,7290,7316,24072,24473,-26
357,18.472,6972,7184,24764,24117,-212
358,18.524,7948,7334,25143,24093,614
359,18.575,7176,7172,22479,24039,4
360,18.627,7055,7232,23809,24268,-177
361,18.679,7789,7328,22904,24479,461
362,18.731,7198,7094,23650,24654,104
363,18.782,7279,7226,24347,23840,53
364,18.834,8330,7220,25439,24316,1110
365,18.886,7301,7328,23856,24250,-27
366,18.938,7009,7298,23757,23665,-289
367,18.989,7267,7220,23676,24388,47
368,19.041,6971,7130,23164,24491,-159
369,19.093,7039,7070,24067,24551,-31
370,19.145,7858,7292,24175,23985,566
371,19.196,7703,7449,24430,24322,254
372,19.248,7275,7334,24687,24792,-59
373,19.3,7641,7226,24370,24027,415
374,19.352,7267,7148,22579,24135,119
375,19.403,6997,7352,24730,24509,-355
376,19.455,7141,7250,24182,24232,-109
377,19.507,7210,7268,24249,24003,-58
378,19.558,6574,7076,23831,24497,-502
379,19.61,6993,7214,24288,24328,-221
380,19.662,7118,7250,24640,24605,-132
381,19.714,7131,7316,24758,24901,-185
382,19.765,6770,7310,23553,24449,-540
383,19.817,7540,7400,23432,24238,140
384,19.869,6884,7136,23860,24521,-252
385,19.921,7580,7250,25023,24340,330
386,19.972,7643,6944,24736,24575,699
387,20.024,7054,7358,24528,24298,-304
388,20.076,7872,7190,24656,24232,682
389,20.128,7218,7286,23001,23960,-68
390,20.179,7574,7088,25881,24358,486
391,20.231,7551,7184,24032,24304,367
392,20.283,7292,7184,22973,24491,108
393,20.335,7968,7136,24281,24654,832
394,20.386,7778,7406,23626,24298,372
395,20.438,7273,7124,22636,24376,149
396,20.49,10582,7298,24541,23912,3284
397,20.542,9623,7154,23333,24491,2469
398,20.593,7439,7088,24813,24497,351
399,20.645,8097,7208,24102,24449,889
400,20.697,8839,7208,24239,24503,1631
401,20.749,9322,7130,25376,24346,2192
402,20.8,10796,7262,25279,24340,3534
403,20.852,8592,7208,23961,24400,1384
404,20.904,9489,7112,24467,24358,2377
405,20.956,9711,7485,23482,24075,2226
406,21.007,9211,7358,24235,24009,1853
407,21.059,8581,7232,24357,24479,1349
408,21.111,7810,7100,24695,24304,710
409,21.162,7164,7220,24340,24425,-56
410,21.214,7201,7112,24594,24702,89
411,21.266,7086,6938,22418,24081,148
412,21.318,7036,6968,25677,24467,68
413,21.369,7750,7118,22804,24617,632
414,21.421,7529,7178,25049,24238,351
415,21.473,7363,7190,23754,24189,173
416,21.525,7500,7130,24258,24611,370
417,21.576,7616,7268,22595,24473,348
418,21.628,7724,7178,24175,24256,546
419,21.68,7313,7250,24265,24280,63
420,21.732,8295,7112,24283,24093,1183
421,21.783,8475,7238,24647,24039,1237
422,21.835,7418,7202,25767,24364,216
423,21.887,7563,7274,23901,24159,289
424,21.939,6841,7124,25114,24220,-283
425,21.99,8465,7190,24805,24750,1275
426,22.042,8813,7244,23397,24250,1569
427,22.094,8610,7124,24002,24352,1486
428,22.146,11468,7400,25016,24298,4068
429,22.197,9486,7412,26328,24069,2074
430,22.249,9076,7226,23519,24376,1850
431,22.301,8545,7088,25281,24461,1457
432,22.353,10271,7070,24078,24642,3201
433,22.404,9086,7352,24067,24581,1734
434,22.456,7547,7268,23207,24202,279
435,22.508,8216,7154,25606,24352,1062
436,22.56,7238,7244,23922,24286,-6
437,22.611,10120,7437,23162,24147,2683
438,22.663,9882,7292,24159,24346,2590
439,22.715,8420,7280,24763,24358,1140
440,22.766,10946,7214,23841,24593,3732
441,22.818,10524,7142,25757,24262,3382
442,22.87,9315,7202,23795,24069,2113
443,22.922,10273,7406,23382,24033,2867
444,22.973,9491,7196,24045,24093,2295
445,23.025,10045,7184,23478,24491,2861
446,23.077,11588,7352,24351,24370,4236
447,23.129,10352,7388,24490,24274,2964
448,23.18,11354,7370,25099,24171,3984
449,23.232,10549,7142,24139,24268,3407
450,23.284,10963,7376,24917,23888,3587
451,23.336,9347,7124,23800,24177,2223
452,23.387,7916,7286,23529,24238,630
453,23.439,8261,7214,25374,24551,1047
454,23.491,9437,7226,24093,24913,2211
455,23.543,8443,7340,23692,24599,1103
456,23.594,9471,7244,24800,23719,2227
457,23.646,9448,7280,25290,23979,2168
458,23.698,8251,7088,23944,24437,1163
459,23.75,10398,7268,24509,24425,3130
460,23.801,7599,7406,23437,24081,193
461,23.853,8175,7226,24209,24346,949
462,23.905,8665,7220,22200,24599,1445
463,23.957,8398,7262,23626,24135,1136
464,24.008,7825,7196,22850,24226,629
465,24.06,7146,7136,23687,24232,10
466,24.112,7107,7286,24888,24654,-179
467,24.164,7231,7346,23598,24063,-115
468,24.215,6905,7172,23536,24431,-267
469,24.267,7018,7154,24906,24165,-136
470,24.319,7014,7274,24260,24587,-260
471,24.37,7347,7364,24337,24322,-17
472,24.422,7128,7256,25394,24189,-128
473,24.474,7144,7184,24178,24310,-40
474,24.526,7283,7214,24665,24352,69
475,24.577,7560,7208,23958,24473,352
476,24.629,7023,7310,24945,24461,-287
477,24.681,7282,7028,25360,24316,254
478,24.733,7235,7394,25801,24539,-159
479,24.784,8279,7334,23810,23985,945
480,24.836,8915,7292,23105,24189,1623
481,24.888,8149,7226,25164,24358,923
482,24.94,7793,7208,23730,24400,585
483,24.991,8348,7106,24093,24346,1242
484,25.043,7274,7292,23922,24636,-18
485,25.095,7379,7304,24607,24400,75
486,25.147,7599,7322,23726,24069,277
487,25.198,7378,7220,24034,24575,158
488,25.25,7404,7130,23406,24581,274
489,25.302,7796,7256,23871,24183,540
490,25.354,7656,7220,22514,24461,436
491,25.405,10162,7106,24693,24220,3056
492,25.457,10206,7238,23637,24491,2968
493,25.509,9879,7376,24252,24316,2503
494,25.561,9839,7322,24327,24437,2517
495,25.612,10464,7238,24072,24521,3226
496,25.664,10816,7322,23938,24051,3494
497,25.716,10772,7340,24542,24250,3432
498,25.768,8670,7172,24024,24551,1498
499,25.819,7416,7214,23328,24413,202
500,25.871,7151,7130,24556,24455,21
501,25.923,8267,7166,23698,23997,1101
502,25.974,8213,7178,25512,24527,1035
503,26.026,9590,7292,25206,24642,2298
504,26.078,9770,7184,24423,24274,2586
505,26.13,8390,7004,23019,24159,1386
506,26.181,8291,7376,23675,24376,915
507,26.233,7682,7346,23641,24334,336
508,26.285,8032,6938,24817,24431,1094
509,26.337,8493,7088,25107,24183,1405
510,26.388,8254,7178,25097,24455,1076
511,26.44,8551,7394,24576,24003,1157
512,26.492,7622,7130,23595,24334,492
513,26.544,8564,6986,25348,24515,1578
514,26.595,8299,7202,23010,24431,1097
515,26.647,8018,7370,25056,24045,648
516,26.699,9719,7232,24357,24630,2487
517,26.751,10709,7262,24099,24232,3447
518,26.802,9943,7298,24429,24220,2645
519,26.854,10362,7256,23258,24611,3106
520,26.906,10576,7376,23934,24569,3200
521,26.958,10068,7424,23669,24093,2644
522,27.009,9376,7376,23131,24232,2000
523,27.061,10060,7304,22824,23719,2756
524,27.113,8878,7256,23777,24304,1622
525,27.165,8603,7148,22884,24382,1455
526,27.216,7018,7238,23758,24605,-220
527,27.268,8479,7244,23436,24033,1235
528,27.32,9106,7455,23336,24630,1651
529,27.372,10140,7268,24363,24672,2872
530,27.423,10980,7298,25087,24304,3682
531,27.475,10656,7136,25227,24376,3520
532,27.527,6877,7130,25089,24406,-253
533,27.578,7456,7016,24440,24551,440
534,27.63,7644,7016,25041,24400,628
535,27.682,7062,7034,24496,24159,28
536,27.734,6771,7154,23773,24642,-383
537,27.785,7640,7208,22770,24214,432
538,27.837,7321,7172,23957,24792,149
539,27.889,7225,7250,22182,24382,-25
540,27.941,7555,7184,23779,24286,371
541,27.992,7102,7046,25033,24352,56
542,28.044,7320,7238,25105,23900,82
543,28.096,7618,7208,23123,24147,410
544,28.148,7398,7232,23545,24286,166
545,28.199,6650,7364,24803,24177,-714
