id,avg_x,avg_y,x,y,bg,Square_intensity,circular_intensity,Gaussian_intensity
1,221.080,135.210,221.42,137.41,378.92,7424.0,949.0,949.0
2,221.080,135.210,221.42,137.41,378.92,9182.0,1049.0,1049.0
3,221.080,135.210,221.42,137.41,378.92,7610.0,1008.0,1008.0
4,221.080,135.210,221.42,137.41,378.92,7495.0,927.0,927.0
5,221.080,135.210,221.42,137.41,378.92,7820.0,930.0,930.0
6,221.080,135.210,221.42,137.41,378.92,7860.0,880.0,880.0
7,221.080,135.210,221.42,137.41,378.92,7305.0,891.0,891.0
8,221.080,135.210,221.42,137.41,378.92,6778.0,888.0,888.0
9,221.080,135.210,221.42,137.41,378.92,6729.0,920.0,920.0
10,221.080,135.210,221.42,137.41,378.92,7093.0,801.0,801.0
11,221.080,135.210,221.42,137.41,378.92,7692.0,924.0,924.0
12,221.080,135.210,221.86,139.43,378.92,6201.0,490.0,490.0
14,221.080,135.210,221.16,137.3,378.92,7885.0,1403.0,1403.0
15,221.080,135.210,221.61,137.6,378.92,7961.0,530.0,530.0
16,221.080,135.210,221.49,137.55,378.92,8279.0,329.0,329.0
17,221.080,135.210,221,134.79,378.92,6875.0,707.0,707.0
18,221.080,135.210,220.49,134.42,378.92,8024.0,597.0,597.0
19,221.080,135.210,219.87,134.1,378.92,8140.0,1470.0,1470.0
20,221.080,135.210,220.7,135.04,378.92,7563.0,1063.0,1063.0
21,221.080,135.210,220.12,134.39,378.92,7499.0,1030.0,1030.0
22,221.080,135.210,219.87,134.27,378.92,7093.0,998.0,998.0
23,221.080,135.210,219.99,134.1,378.92,6966.0,1102.0,1102.0
24,221.080,135.210,219.64,132.45,378.92,7737.0,362.0,362.0
25,221.080,135.210,220.5,134.48,378.92,7189.0,315.0,315.0
28,221.080,135.210,219.7,134.83,378.92,7500.0,1306.0,1306.0
29,221.080,135.210,220.75,134.99,378.92,7494.0,1005.0,1005.0
30,221.080,135.210,219.83,133.94,378.92,7654.0,1192.0,1192.0
31,221.080,135.210,219.81,134.23,378.92,6708.0,1177.0,1177.0
34,221.080,135.210,219.58,132.6,378.92,7571.0,692.0,692.0
37,221.080,135.210,220.09,134.05,378.92,7599.0,1100.0,1100.0
39,221.080,135.210,220.62,134.48,378.92,7803.0,240.0,240.0
40,221.080,135.210,218.65,132.33,378.92,6802.0,1028.0,1028.0
41,221.080,135.210,219.84,134.22,378.92,7526.0,1390.0,1390.0
42,221.080,135.210,219.75,134.07,378.92,7462.0,1260.0,1260.0
45,221.080,135.210,219.9,134.26,378.92,6733.0,949.0,949.0
48,221.080,135.210,220.69,134.99,378.92,6041.0,855.0,855.0
49,221.080,135.210,220.32,134.43,378.92,6951.0,1198.0,1198.0
50,221.080,135.210,220.58,135.4,378.92,6713.0,449.0,449.0
52,221.080,135.210,219.6,134.38,378.92,6963.0,824.0,824.0
53,221.080,135.210,219.77,134.27,378.92,7450.0,1411.0,1411.0
55,221.080,135.210,220.05,134.23,378.92,7052.0,1221.0,1221.0
56,221.080,135.210,219.94,134.03,378.92,7306.0,1212.0,1212.0
57,221.080,135.210,219.08,132.17,378.92,7398.0,1113.0,1113.0
58,221.080,135.210,218.63,130.45,378.92,7374.0,282.0,282.0
59,221.080,135.210,217.91,130.22,378.92,6527.0,1059.0,1059.0
60,221.080,135.210,217.79,130.22,378.92,7310.0,1449.0,1449.0
61,221.080,135.210,216.77,129.01,378.92,6553.0,1029.0,1029.0
62,221.080,135.210,216.97,129.05,378.92,7598.0,1369.0,1369.0
63,221.080,135.210,217.67,130.1,378.92,7781.0,1221.0,1221.0
64,221.080,135.210,216.42,128.89,378.92,8197.0,1396.0,1396.0
65,221.080,135.210,217.78,130.07,378.92,6998.0,1216.0,1216.0
66,221.080,135.210,216.95,128.52,378.92,8168.0,1375.0,1375.0
67,221.080,135.210,217.75,130.14,378.92,6686.0,1228.0,1228.0
68,221.080,135.210,215.79,128.36,378.92,6874.0,1033.0,1033.0
69,221.080,135.210,217.88,129.93,378.92,7583.0,1214.0,1214.0
70,221.080,135.210,217.93,130.37,378.92,7203.0,1126.0,1126.0
71,221.080,135.210,216.66,129.01,378.92,7076.0,1197.0,1197.0
72,221.080,135.210,218.07,130.51,378.92,6472.0,1145.0,1145.0
73,221.080,135.210,216.66,128.92,378.92,7889.0,1359.0,1359.0
74,221.080,135.210,216.35,129.53,378.92,6845.0,1008.0,1008.0
75,221.080,135.210,217.81,130.04,378.92,7312.0,1288.0,1288.0
76,221.080,135.210,218.61,130.47,378.92,8173.0,700.0,700.0
77,221.080,135.210,218.16,130.27,378.92,8046.0,1406.0,1406.0
78,221.080,135.210,216.85,129.2,378.92,7280.0,1655.0,1655.0
79,221.080,135.210,217.97,130.21,378.92,7886.0,1499.0,1499.0
80,221.080,135.210,217.83,130.07,378.92,7886.0,1606.0,1606.0
81,221.080,135.210,217.93,130.09,378.92,7493.0,1697.0,1697.0
82,221.080,135.210,218.61,130.65,378.92,7295.0,1293.0,1293.0
83,221.080,135.210,216.92,129.26,378.92,7586.0,1346.0,1346.0
84,221.080,135.210,216.99,129.18,378.92,8415.0,1549.0,1549.0
85,221.080,135.210,217.91,130.55,378.92,7491.0,1525.0,1525.0
86,221.080,135.210,218.8,132.23,378.92,6973.0,1451.0,1451.0
87,221.080,135.210,219.04,132.14,378.92,7567.0,1209.0,1209.0
88,221.080,135.210,219.84,134.3,378.92,6615.0,863.0,863.0
91,221.080,135.210,221.56,134.99,378.92,3359.0,0.0,0.0
94,221.080,135.210,220.88,134.46,378.92,5574.0,422.0,422.0
97,221.080,135.210,221.08,135.21,378.92,5644.0,852.0,852.0
98,221.080,135.210,221.08,135.21,378.92,4893.0,673.0,673.0
99,221.080,135.210,221.08,135.21,378.92,4497.0,585.0,585.0
100,221.080,135.210,221.08,135.21,378.92,4133.0,596.0,596.0
101,221.080,135.210,221.08,135.21,378.92,4210.0,659.0,659.0
102,221.080,135.210,221.08,135.21,378.92,4767.0,703.0,703.0
103,221.080,135.210,221.08,135.21,378.92,4028.0,541.0,541.0
104,221.080,135.210,221.08,135.21,378.92,3396.0,414.0,414.0
105,221.080,135.210,221.08,135.21,378.92,4731.0,747.0,747.0
106,221.080,135.210,221.08,135.21,378.92,4056.0,682.0,682.0
107,221.080,135.210,221.08,135.21,378.92,4309.0,612.0,612.0
108,221.080,135.210,221.08,135.21,378.92,5229.0,825.0,825.0
109,221.080,135.210,221.08,135.21,378.92,4195.0,593.0,593.0
110,221.080,135.210,221.08,135.21,378.92,4000.0,641.0,641.0
111,221.080,135.210,221.08,135.21,378.92,5096.0,778.0,778.0
