id,avg_x,avg_y,x,y,bg,Square_intensity,circular_intensity,Gaussian_intensity
194,173.310,228.410,179.02,224.97,328.72,5086.0,976.0,976.0
195,173.310,228.410,179.02,224.97,328.72,4117.0,730.0,730.0
196,173.310,228.410,179.02,224.97,328.72,3981.0,634.0,634.0
197,173.310,228.410,179.02,224.97,328.72,4579.0,802.0,802.0
198,173.310,228.410,179.02,224.97,328.72,4992.0,840.0,840.0
199,173.310,228.410,179.02,224.97,328.72,4212.0,667.0,667.0
200,173.310,228.410,179.02,224.97,328.72,4736.0,775.0,775.0
201,173.310,228.410,179.02,224.97,328.72,4226.0,719.0,719.0
202,173.310,228.410,179.02,224.97,328.72,5266.0,964.0,964.0
203,173.310,228.410,179.02,224.97,328.72,4032.0,632.0,632.0
204,173.310,228.410,179.02,224.97,328.72,4154.0,606.0,606.0
205,173.310,228.410,179.02,224.97,328.72,3855.0,621.0,621.0
206,173.310,228.410,179.02,224.97,328.72,3510.0,424.0,424.0
207,173.310,228.410,179.02,224.97,328.72,3756.0,534.0,534.0
208,173.310,228.410,179.02,224.97,328.72,4216.0,704.0,704.0
209,173.310,228.410,179.02,224.97,328.72,3839.0,612.0,612.0
210,173.310,228.410,179.02,224.97,328.72,4133.0,706.0,706.0
211,173.310,228.410,179.02,224.97,328.72,3632.0,432.0,432.0
212,173.310,228.410,179.02,224.97,328.72,4009.0,585.0,585.0
213,173.310,228.410,179.02,224.97,328.72,3689.0,611.0,611.0
214,173.310,228.410,179.02,224.97,328.72,4116.0,611.0,611.0
215,173.310,228.410,179.02,224.97,328.72,4206.0,685.0,685.0
216,173.310,228.410,179.02,224.97,328.72,4457.0,700.0,700.0
217,173.310,228.410,179.02,224.97,328.72,4405.0,751.0,751.0
218,173.310,228.410,179.02,224.97,328.72,4052.0,617.0,617.0
219,173.310,228.410,179.02,224.97,328.72,4648.0,788.0,788.0
220,173.310,228.410,179.02,224.97,328.72,3836.0,559.0,559.0
221,173.310,228.410,179.02,224.97,328.72,4328.0,703.0,703.0
222,173.310,228.410,179.02,224.97,328.72,4146.0,560.0,560.0
223,173.310,228.410,179.02,224.97,328.72,3606.0,553.0,553.0
224,173.310,228.410,179.02,224.97,328.72,3744.0,592.0,592.0
225,173.310,228.410,179.02,224.97,328.72,4306.0,606.0,606.0
226,173.310,228.410,179.02,224.97,328.72,4261.0,656.0,656.0
227,173.310,228.410,179.02,224.97,328.72,4497.0,752.0,752.0
228,173.310,228.410,179.02,224.97,328.72,3656.0,577.0,577.0
229,173.310,228.410,179.02,224.97,328.72,3890.0,562.0,562.0
230,173.310,228.410,179.02,224.97,328.72,3988.0,582.0,582.0
231,173.310,228.410,179.02,224.97,328.72,4088.0,710.0,710.0
232,173.310,228.410,179.02,224.97,328.72,4187.0,647.0,647.0
233,173.310,228.410,179.02,224.97,328.72,3972.0,700.0,700.0
234,173.310,228.410,179.02,224.97,328.72,4401.0,675.0,675.0
235,173.310,228.410,179.02,224.97,328.72,3408.0,483.0,483.0
236,173.310,228.410,179.02,224.97,328.72,4219.0,706.0,706.0
237,173.310,228.410,179.02,224.97,328.72,3414.0,507.0,507.0
238,173.310,228.410,179.02,224.97,328.72,4194.0,614.0,614.0
239,173.310,228.410,179.02,224.97,328.72,4488.0,734.0,734.0
240,173.310,228.410,179.02,224.97,328.72,3557.0,500.0,500.0
241,173.310,228.410,179.02,224.97,328.72,3833.0,657.0,657.0
242,173.310,228.410,179.02,224.97,328.72,4558.0,830.0,830.0
243,173.310,228.410,179.02,224.97,328.72,4375.0,678.0,678.0
244,173.310,228.410,179.02,224.97,328.72,4691.0,753.0,753.0
245,173.310,228.410,179.02,224.97,328.72,4311.0,756.0,756.0
246,173.310,228.410,179.02,224.97,328.72,4149.0,696.0,696.0
247,173.310,228.410,179.02,224.97,328.72,5105.0,834.0,834.0
248,173.310,228.410,179.02,224.97,328.72,3714.0,596.0,596.0
249,173.310,228.410,179.02,224.97,328.72,4287.0,661.0,661.0
250,173.310,228.410,179.02,224.97,328.72,4320.0,715.0,715.0
251,173.310,228.410,179.02,224.97,328.72,4089.0,650.0,650.0
252,173.310,228.410,179.02,224.97,328.72,3578.0,573.0,573.0
253,173.310,228.410,179.02,224.97,328.72,4063.0,651.0,651.0
254,173.310,228.410,179.02,224.97,328.72,4281.0,675.0,675.0
255,173.310,228.410,179.02,224.97,328.72,4161.0,700.0,700.0
256,173.310,228.410,179.02,224.97,328.72,4084.0,641.0,641.0
257,173.310,228.410,179.02,224.97,328.72,4377.0,719.0,719.0
258,173.310,228.410,179.02,224.97,328.72,3907.0,590.0,590.0
259,173.310,228.410,179.02,224.97,328.72,3636.0,584.0,584.0
260,173.310,228.410,179.02,224.97,328.72,4503.0,779.0,779.0
261,173.310,228.410,179.02,224.97,328.72,3725.0,590.0,590.0
262,173.310,228.410,179.02,224.97,328.72,4129.0,648.0,648.0
263,173.310,228.410,179.02,224.97,328.72,3925.0,666.0,666.0
264,173.310,228.410,179.02,224.97,328.72,4715.0,766.0,766.0
265,173.310,228.410,179.02,224.97,328.72,3580.0,447.0,447.0
266,173.310,228.410,179.02,224.97,328.72,3865.0,593.0,593.0
267,173.310,228.410,179.02,224.97,328.72,4049.0,657.0,657.0
268,173.310,228.410,179.02,224.97,328.72,4209.0,667.0,667.0
269,173.310,228.410,179.02,224.97,328.72,3743.0,508.0,508.0
270,173.310,228.410,179.02,224.97,328.72,4432.0,623.0,623.0
271,173.310,228.410,179.02,224.97,328.72,3564.0,497.0,497.0
272,173.310,228.410,179.02,224.97,328.72,4495.0,798.0,798.0
273,173.310,228.410,179.02,224.97,328.72,3973.0,723.0,723.0
274,173.310,228.410,179.02,224.97,328.72,3918.0,613.0,613.0
275,173.310,228.410,179.02,224.97,328.72,4026.0,662.0,662.0
276,173.310,228.410,179.02,224.97,328.72,4075.0,620.0,620.0
277,173.310,228.410,179.02,224.97,328.72,3905.0,603.0,603.0
278,173.310,228.410,179.02,224.97,328.72,4092.0,653.0,653.0
279,173.310,228.410,179.02,224.97,328.72,3755.0,632.0,632.0
280,173.310,228.410,179.02,224.97,328.72,4344.0,742.0,742.0
281,173.310,228.410,179.02,224.97,328.72,3658.0,545.0,545.0
282,173.310,228.410,179.02,224.97,328.72,4164.0,721.0,721.0
283,173.310,228.410,179.02,224.97,328.72,4103.0,788.0,788.0
284,173.310,228.410,179.02,224.97,328.72,4495.0,726.0,726.0
285,173.310,228.410,179.02,224.97,328.72,3280.0,510.0,510.0
286,173.310,228.410,179.02,224.97,328.72,4053.0,654.0,654.0
287,173.310,228.410,179.02,224.97,328.72,4701.0,863.0,863.0
288,173.310,228.410,179.02,224.97,328.72,4168.0,606.0,606.0
289,173.310,228.410,179.02,224.97,328.72,4476.0,733.0,733.0
290,173.310,228.410,179.02,224.97,328.72,3157.0,469.0,469.0
