id,avg_x,avg_y,x,y,bg,Square_intensity,circular_intensity,Gaussian_intensity
1,102.610,69.420,101.02,72.43,890.68,7284.0,524.0,524.0
2,102.610,69.420,101.37,72.47,890.68,5994.0,391.0,391.0
3,102.610,69.420,100.85,72.28,890.68,6958.0,394.0,394.0
4,102.610,69.420,101.29,72.04,890.68,8433.0,751.0,751.0
6,102.610,69.420,101.23,72.29,890.68,6569.0,440.0,440.0
7,102.610,69.420,100.98,72.72,890.68,7089.0,395.0,395.0
8,102.610,69.420,101.43,72.81,890.68,6593.0,512.0,512.0
10,102.610,69.420,101.38,72.38,890.68,7344.0,497.0,497.0
11,102.610,69.420,100.97,72.43,890.68,7202.0,420.0,420.0
12,102.610,69.420,101.26,72.47,890.68,7512.0,635.0,635.0
13,102.610,69.420,100.87,72.41,890.68,6752.0,378.0,378.0
14,102.610,69.420,101.47,72.66,890.68,6502.0,256.0,256.0
15,102.610,69.420,101.06,71.98,890.68,6738.0,660.0,660.0
16,102.610,69.420,101.17,72.76,890.68,7453.0,565.0,565.0
17,102.610,69.420,101.06,72.27,890.68,7296.0,791.0,791.0
18,102.610,69.420,101.17,72.8,890.68,6958.0,613.0,613.0
19,102.610,69.420,101.02,72.63,890.68,7059.0,464.0,464.0
21,102.610,69.420,101.25,72.57,890.68,7378.0,655.0,655.0
22,102.610,69.420,100.78,72.85,890.68,6488.0,411.0,411.0
23,102.610,69.420,101.7,72.33,890.68,7755.0,689.0,689.0
24,102.610,69.420,100.96,72.53,890.68,7210.0,291.0,291.0
25,102.610,69.420,101.18,72.31,890.68,7379.0,444.0,444.0
26,102.610,69.420,101.7,72.52,890.68,7158.0,380.0,380.0
27,102.610,69.420,101.42,71.88,890.68,6837.0,693.0,693.0
28,102.610,69.420,101.42,72.49,890.68,8446.0,477.0,477.0
29,102.610,69.420,101.59,72.45,890.68,8317.0,536.0,536.0
30,102.610,69.420,101.58,72.46,890.68,8580.0,561.0,561.0
31,102.610,69.420,101.31,72.4,890.68,8187.0,844.0,844.0
32,102.610,69.420,101.14,72.45,890.68,7928.0,590.0,590.0
33,102.610,69.420,101.39,72.58,890.68,8363.0,566.0,566.0
34,102.610,69.420,101.06,73.33,890.68,6201.0,468.0,468.0
35,102.610,69.420,101.18,72.0,890.68,7103.0,559.0,559.0
36,102.610,69.420,101.42,72.56,890.68,7995.0,508.0,508.0
37,102.610,69.420,101.04,72.75,890.68,8539.0,929.0,929.0
38,102.610,69.420,101.37,72.41,890.68,8156.0,865.0,865.0
39,102.610,69.420,101.37,72.48,890.68,7904.0,631.0,631.0
40,102.610,69.420,100.91,72.31,890.68,6479.0,515.0,515.0
41,102.610,69.420,101.05,72.48,890.68,8196.0,705.0,705.0
42,102.610,69.420,101.31,72.37,890.68,7094.0,850.0,850.0
43,102.610,69.420,101.6,72.52,890.68,7366.0,502.0,502.0
44,102.610,69.420,101.58,72.39,890.68,8209.0,484.0,484.0
45,102.610,69.420,100.97,72.24,890.68,8281.0,759.0,759.0
46,102.610,69.420,101.47,72.45,890.68,7731.0,353.0,353.0
47,102.610,69.420,101.24,72.35,890.68,7440.0,748.0,748.0
48,102.610,69.420,101.14,72.57,890.68,7454.0,515.0,515.0
49,102.610,69.420,100.84,72.42,890.68,6912.0,420.0,420.0
50,102.610,69.420,101.03,72.19,890.68,7283.0,642.0,642.0
51,102.610,69.420,101.42,72.35,890.68,7869.0,665.0,665.0
52,102.610,69.420,100.95,72.55,890.68,7636.0,477.0,477.0
53,102.610,69.420,101.31,72.35,890.68,8435.0,1025.0,1025.0
54,102.610,69.420,101.32,72.59,890.68,7876.0,567.0,567.0
55,102.610,69.420,101.36,72.23,890.68,7843.0,670.0,670.0
56,102.610,69.420,101.56,72.45,890.68,7564.0,508.0,508.0
57,102.610,69.420,101.32,72.43,890.68,8491.0,991.0,991.0
58,102.610,69.420,101.34,72.54,890.68,8127.0,659.0,659.0
59,102.610,69.420,101.52,72.31,890.68,8546.0,659.0,659.0
60,102.610,69.420,101.17,72.31,890.68,8108.0,811.0,811.0
61,102.610,69.420,100.93,72.26,890.68,8472.0,825.0,825.0
