id,avg_x,avg_y,x,y,bg,Square_intensity,circular_intensity,Gaussian_intensity
192,197.590,90.560,197.42,88.57,367.27,4476.0,487.0,487.0
193,197.590,90.560,197.42,88.57,367.27,5117.0,578.0,578.0
194,197.590,90.560,197.42,88.57,367.27,3802.0,420.0,420.0
195,197.590,90.560,197.42,88.57,367.27,5716.0,609.0,609.0
196,197.590,90.560,197.42,88.57,367.27,4331.0,462.0,462.0
197,197.590,90.560,197.42,88.57,367.27,3759.0,481.0,481.0
198,197.590,90.560,197.42,88.57,367.27,3653.0,342.0,342.0
199,197.590,90.560,197.42,88.57,367.27,4569.0,489.0,489.0
200,197.590,90.560,197.42,88.57,367.27,4657.0,597.0,597.0
201,197.590,90.560,197.42,88.57,367.27,3877.0,464.0,464.0
202,197.590,90.560,197.42,88.57,367.27,4047.0,438.0,438.0
203,197.590,90.560,197.42,88.57,367.27,4803.0,578.0,578.0
204,197.590,90.560,197.42,88.57,367.27,4755.0,543.0,543.0
205,197.590,90.560,197.42,88.57,367.27,4837.0,508.0,508.0
206,197.590,90.560,197.42,88.57,367.27,3842.0,454.0,454.0
207,197.590,90.560,197.42,88.57,367.27,4238.0,465.0,465.0
208,197.590,90.560,197.42,88.57,367.27,3935.0,397.0,397.0
209,197.590,90.560,197.42,88.57,367.27,4449.0,491.0,491.0
210,197.590,90.560,197.42,88.57,367.27,3910.0,566.0,566.0
211,197.590,90.560,197.42,88.57,367.27,3753.0,397.0,397.0
212,197.590,90.560,197.42,88.57,367.27,4350.0,443.0,443.0
213,197.590,90.560,197.42,88.57,367.27,3975.0,529.0,529.0
214,197.590,90.560,197.42,88.57,367.27,3778.0,443.0,443.0
215,197.590,90.560,197.42,88.57,367.27,3827.0,482.0,482.0
216,197.590,90.560,197.42,88.57,367.27,4135.0,508.0,508.0
217,197.590,90.560,197.42,88.57,367.27,3204.0,389.0,389.0
218,197.590,90.560,197.42,88.57,367.27,4760.0,495.0,495.0
219,197.590,90.560,197.42,88.57,367.27,3008.0,401.0,401.0
220,197.590,90.560,197.42,88.57,367.27,4323.0,460.0,460.0
221,197.590,90.560,197.42,88.57,367.27,3999.0,490.0,490.0
222,197.590,90.560,197.42,88.57,367.27,3683.0,474.0,474.0
223,197.590,90.560,197.42,88.57,367.27,4230.0,471.0,471.0
224,197.590,90.560,197.42,88.57,367.27,4171.0,444.0,444.0
225,197.590,90.560,197.42,88.57,367.27,4419.0,476.0,476.0
226,197.590,90.560,197.42,88.57,367.27,3686.0,406.0,406.0
227,197.590,90.560,197.42,88.57,367.27,4353.0,490.0,490.0
228,197.590,90.560,197.42,88.57,367.27,5125.0,605.0,605.0
229,197.590,90.560,197.42,88.57,367.27,4906.0,490.0,490.0
230,197.590,90.560,197.42,88.57,367.27,4054.0,444.0,444.0
231,197.590,90.560,197.42,88.57,367.27,3931.0,369.0,369.0
232,197.590,90.560,197.42,88.57,367.27,4092.0,438.0,438.0
233,197.590,90.560,197.42,88.57,367.27,4647.0,536.0,536.0
234,197.590,90.560,197.42,88.57,367.27,4789.0,487.0,487.0
235,197.590,90.560,197.42,88.57,367.27,3771.0,423.0,423.0
236,197.590,90.560,197.42,88.57,367.27,5005.0,646.0,646.0
237,197.590,90.560,197.42,88.57,367.27,4669.0,495.0,495.0
238,197.590,90.560,197.42,88.57,367.27,4590.0,557.0,557.0
239,197.590,90.560,197.42,88.57,367.27,4762.0,557.0,557.0
240,197.590,90.560,197.42,88.57,367.27,4373.0,468.0,468.0
241,197.590,90.560,197.42,88.57,367.27,4236.0,499.0,499.0
242,197.590,90.560,197.42,88.57,367.27,3905.0,456.0,456.0
243,197.590,90.560,197.42,88.57,367.27,4326.0,492.0,492.0
244,197.590,90.560,197.42,88.57,367.27,4946.0,506.0,506.0
245,197.590,90.560,197.42,88.57,367.27,4240.0,478.0,478.0
246,197.590,90.560,197.42,88.57,367.27,4943.0,464.0,464.0
247,197.590,90.560,197.42,88.57,367.27,4113.0,493.0,493.0
248,197.590,90.560,197.42,88.57,367.27,4321.0,533.0,533.0
249,197.590,90.560,197.42,88.57,367.27,4126.0,432.0,432.0
250,197.590,90.560,197.42,88.57,367.27,4567.0,398.0,398.0
251,197.590,90.560,197.42,88.57,367.27,4300.0,521.0,521.0
252,197.590,90.560,197.42,88.57,367.27,4457.0,445.0,445.0
253,197.590,90.560,197.42,88.57,367.27,4813.0,469.0,469.0
254,197.590,90.560,197.42,88.57,367.27,4099.0,417.0,417.0
255,197.590,90.560,197.42,88.57,367.27,3927.0,480.0,480.0
256,197.590,90.560,197.42,88.57,367.27,3439.0,304.0,304.0
257,197.590,90.560,197.42,88.57,367.27,4594.0,466.0,466.0
258,197.590,90.560,197.42,88.57,367.27,3673.0,323.0,323.0
259,197.590,90.560,197.42,88.57,367.27,3972.0,423.0,423.0
260,197.590,90.560,197.42,88.57,367.27,4061.0,446.0,446.0
261,197.590,90.560,197.42,88.57,367.27,4105.0,440.0,440.0
262,197.590,90.560,197.42,88.57,367.27,3531.0,351.0,351.0
263,197.590,90.560,197.42,88.57,367.27,3902.0,440.0,440.0
264,197.590,90.560,197.42,88.57,367.27,3488.0,326.0,326.0
265,197.590,90.560,197.42,88.57,367.27,4443.0,508.0,508.0
266,197.590,90.560,197.42,88.57,367.27,3946.0,444.0,444.0
267,197.590,90.560,197.42,88.57,367.27,3548.0,330.0,330.0
268,197.590,90.560,197.42,88.57,367.27,4283.0,481.0,481.0
269,197.590,90.560,197.42,88.57,367.27,3710.0,377.0,377.0
270,197.590,90.560,197.42,88.57,367.27,3762.0,388.0,388.0
271,197.590,90.560,197.42,88.57,367.27,4253.0,490.0,490.0
272,197.590,90.560,197.42,88.57,367.27,3773.0,438.0,438.0
273,197.590,90.560,197.42,88.57,367.27,4345.0,475.0,475.0
274,197.590,90.560,197.42,88.57,367.27,5926.0,762.0,762.0
275,197.590,90.560,197.42,88.57,367.27,5097.0,448.0,448.0
276,197.590,90.560,197.42,88.57,367.27,5308.0,592.0,592.0
277,197.590,90.560,197.42,88.57,367.27,4325.0,387.0,387.0
