file_name,avg_x,avg_y,max_distance
1,47.08716417910448,180.9729104477612,1.3530430398957038
10,69.0851509054326,121.28939637826961,0.539788257548069
100,79.05089285714287,104.1494642857143,2.318380210075441
101,148.64220930232557,74.73825581395347,1.639518794247287
102,216.17099999999996,154.06514285714286,1.9263789918934
103,60.20249999999999,165.01615384615383,0.7344267025108172
104,110.40333333333335,124.52244444444443,1.542559697306118
105,48.61450479233227,175.67520766773163,3.8538358304221094
106,49.836716417910445,166.45597014925372,3.3121019849820286
107,60.470952380952376,187.15404761904762,1.4031743450585188
108,101.6548275862069,235.65896551724137,2.747979865512168
109,176.62222222222223,68.76355555555554,2.2222335666377204
11,69.27785714285714,181.38816326530613,0.16422920184057363
110,168.39085365853657,200.7281707317073,2.2706116457217056
111,161.33272727272725,198.4631313131313,1.7530928141018496
112,125.97532608695651,129.298125,2.694933416980404
113,154.62271604938272,187.7772839506173,2.292001645717536
114,92.66051724137932,150.04051724137935,2.149267842595488
115,133.8032608695652,239.5891304347826,1.9084248223227327
116,72.18177777777777,86.11911111111111,3.287716795649392
117,132.7584210526316,170.66368421052633,3.7852289457502137
118,213.9308,201.23539999999997,2.725717116650246
119,110.89483333333332,234.57524999999998,4.047456105211174
12,68.22105263157894,214.71,1.2152413893334106
120,136.37573529411765,71.33926470588236,2.0408795448553456
121,214.58317647058823,194.80270588235294,2.489803630338555
122,106.89607843137254,237.7230392156863,2.7289380804454004
123,200.97196969696967,208.52651515151516,5.988878401564287
124,106.95326086956524,74.4936956521739,1.7300786448026935
125,209.07533333333336,203.8254444444444,1.8057501604527542
126,212.24738095238095,169.8320238095238,2.649243198848315
127,79.08823529411765,76.24088235294118,1.9505816052182763
128,94.71567307692308,232.13932692307694,1.6577005454462594
129,118.39023255813953,237.7418604651163,3.7870251292230726
13,75.31030927835052,80.3159793814433,4.252872743253089
130,55.24142857142858,126.55857142857143,5.379177161869218
131,121.22636363636364,170.22261363636363,0.6765265967083007
132,160.57909090909092,163.19454545454545,2.820229461387125
133,97.09058201058201,153.93269841269841,0.61370477111828
134,48.80858064516129,152.53167741935485,3.0483391018580535
135,157.2384375,129.16562499999998,1.566753117766563
136,217.33375,129.488125,5.370048191415506
137,109.7376363636364,88.65545454545455,1.1691981995162282
138,146.2586764705882,63.91132352941178,1.716399438613306
139,94.15796610169491,186.54525423728816,2.1650121261701463
14,74.26159268929504,117.18281984334205,0.7164753023886148
140,88.46182242990653,230.47831775700934,2.676110404833045
141,171.26536585365855,227.29024390243902,3.2911955086661124
142,153.69393939393942,235.1718181818182,9.048115694026475
143,54.07733333333333,191.4,3.8730600018303076
144,155.08368421052631,160.58973684210528,1.801907749413424
145,74.54666666666665,180.53483870967744,1.4822128572947504
146,152.14155963302753,163.94119266055048,1.2899826475736844
147,94.11487577639751,112.68729813664595,2.6287044287789643
148,57.614893617021266,202.0944680851064,1.712694553817557
149,102.7907608695652,230.5367391304348,1.3907646923847574
15,85.4723076923077,227.59884615384615,2.2421844866534313
150,52.24499999999998,130.8682558139535,7.018054467393482
151,132.13223880597016,178.83582089552237,1.9387174787062178
152,142.54088050314465,181.59465408805028,0.8053463932867201
153,122.45036231884056,240.7853623188406,3.0605971594926746
154,112.45859649122808,182.39631578947368,3.8848533715807907
155,49.74927536231884,166.4257971014493,3.7237303158013932
156,218.03763157894738,130.76657894736843,5.325796846469219
157,213.34012987012986,158.2017316017316,2.4181238447876994
158,219.2754285714286,168.9922857142857,2.493500203590538
159,203.27970588235294,101.74058823529413,2.935207251455435
16,91.61090725806451,177.7847580645161,1.079143026652428
160,145.9854022988506,234.8989655172414,2.4500751388522284
161,65.30324675324674,212.17025974025972,0.8986224441796338
162,145.42753012048195,110.00740963855421,2.927187192249589
163,106.47237588652482,176.7018085106383,1.4064901668004655
164,132.354,161.71777777777777,1.6505315118485326
165,165.88915451895042,235.74973760932946,2.848332164436617
166,173.47690721649488,167.53886597938143,1.2840470515888711
167,199.5815254237288,169.9885875706215,2.6962404930663104
168,121.49125423728813,166.64142372881355,3.5054419494739864
169,129.74317073170732,67.31170731707317,5.761088421274163
17,94.20063157894738,112.60494736842105,2.8713781088124435
170,178.91621212121214,224.86636363636364,6.455309090194979
171,154.98804347826083,160.71369565217393,1.4013565194188984
172,172.60133333333332,134.9161904761905,1.7406909150329146
173,134.58,239.5722784810126,2.516285714912031
174,170.9379746835443,203.90886075949365,0.7964925212985535
175,171.04349999999997,227.1195,2.4872117923490498
176,193.74725,216.54825,4.158878529724093
177,79.19351351351351,76.31945945945947,2.9475586213255296
