2,48.88,175.44,1994.89
3,48.84,175.69,1995.4900000000002
4,48.64,175.54,5594.76
5,48.84,175.69,2107.47
6,48.56,175.82,1159.63
7,48.93,175.59,3075.09
8,49.09,175.75,2419.84
9,48.66,175.93,2424.1
10,48.79,175.6,421.71000000000004
11,48.57,175.59,3607.47
12,48.58,175.7,1638.9199999999998
13,48.7,175.52,2013.87
14,48.57,175.55,2669.42
15,48.91,175.85,1835.08
16,48.72,175.56,4779.16
17,48.71,175.52,4733.89
18,48.97,175.8,1176.0300000000002
19,48.88,175.95,397.97
20,48.81,175.5,2204.1099999999997
21,48.88,175.62,538.22
22,48.88,175.75,881.21
23,49.04,175.66,1830.83
24,48.81,175.66,2844.51
25,48.6,175.49,3293.9
26,48.84,175.89,2041.1599999999999
27,48.93,175.82,3438.15
28,48.85,175.9,3833.91
29,48.97,175.85,3232.04
30,48.88,175.51,760.3199999999999
31,48.16,175.06,1253.77
32,48.76,176.15,7.3799999999999955
33,48.7,175.64,1570.16
34,48.73,175.46,1829.28
35,48.59,175.33,-6.220000000000027
36,48.54,175.53,2885.0699999999997
37,48.27,175.09,1857.67
38,48.28,174.5,1936.45
40,48.92,175.7,2037.86
41,48.67,175.0,872.5500000000002
42,48.82,174.97,1794.2
43,48.42,175.32,853.1599999999999
44,48.65,175.6,4502.12
45,49.36,175.66,2543.83
46,48.75,175.52,2295.52
47,47.53,175.33,1864.2899999999997
48,47.57,175.42,1208.3
49,48.1,174.26,212.26999999999998
50,47.64,172.55,999.45
