frame,Time [s],CH1,BGND1,CH2,BGND2,intensity
153,7.917,16212,8164,33046,32419,8048
154,7.968,14909,8371,33469,32188,6538
155,8.02,14055,8279,32220,31951,5776
156,8.072,14867,8371,34181,31780,6496
157,8.123,16331,8237,33056,32346,8094
158,8.175,15527,8468,33015,32005,7059
159,8.227,15338,8273,31587,31768,7065
160,8.279,14549,8334,32471,32206,6215
161,8.33,13602,8279,31757,32066,5323
162,8.382,14092,8401,32093,32188,5691
163,8.434,14648,8194,32257,31805,6454
164,8.486,15814,8139,32096,32516,7675
165,8.537,16143,8103,31646,32297,8040
166,8.589,15402,8298,32990,32364,7104
167,8.641,14978,8328,32887,32157,6650
168,8.693,15434,8261,32043,32510,7173
169,8.744,13507,8231,32628,32534,5276
170,8.796,14276,8310,32273,32589,5966
171,8.848,15424,8462,31928,31987,6962
172,8.9,15575,8188,32676,32546,7387
173,8.951,15304,8407,32139,32400,6897
174,9.003,13990,7871,32613,32309,6119
175,9.055,14147,8048,33207,32175,6099
176,9.107,12361,8200,32144,32352,4161
177,9.158,8014,8017,32670,32023,-3
178,9.21,8280,7932,30660,32072,348
179,9.262,8877,7865,31608,31811,1012
180,9.314,8108,8005,32931,32023,103
181,9.365,7910,8127,32999,32388,-217
182,9.417,7954,8151,31409,32054,-197
183,9.469,8254,8084,31830,32540,170
184,9.521,8230,8011,34693,32042,219
185,9.572,7967,7975,32332,32303,-8
186,9.624,7950,8310,33466,32303,-360
187,9.676,8364,8054,32965,31987,310
188,9.727,7822,8005,31598,32327,-183
189,9.779,8353,8170,31477,32522,183
190,9.831,8232,8218,32103,32200,14
191,9.883,8168,8145,33489,32321,23
192,9.934,8434,8237,32063,32388,197
193,9.986,8100,8072,31906,31969,28
194,10.038,8956,8340,31863,32254,616
195,10.09,7972,8170,32426,32218,-198
196,10.141,8444,8005,33534,32267,439
197,10.193,7800,7944,32744,32607,-144
198,10.245,7656,8243,34207,32188,-587
199,10.297,7652,8237,31431,32133,-585
200,10.348,7850,8468,32595,32376,-618
201,10.4,7846,8164,32978,32370,-318
202,10.452,8106,8292,33122,32017,-186
203,10.504,9065,8176,33119,32558,889
204,10.555,8309,8231,31475,32400,78
205,10.607,8980,8023,34884,32127,957
206,10.659,8837,8133,32295,32491,704
207,10.711,8336,8334,32997,32303,2
208,10.762,8171,8261,31737,32169,-90
209,10.814,7578,8084,32414,32163,-506
210,10.866,7870,8036,33478,32826,-166
211,10.918,7812,8011,32545,32601,-199
212,10.969,7597,8090,33094,32321,-493
213,11.021,7875,7993,32021,32054,-118
214,11.073,7749,7914,33868,31878,-165
215,11.125,7882,8084,32902,32388,-202
216,11.176,7478,8060,32371,32115,-582
