frame,Time [s],CH1,BGND1,CH2,BGND2,intensity
0,0.0,11727,11758,66970,59112,-31
1,0.052,12084,12112,63244,59185,-28
2,0.103,11867,12268,65346,59630,-401
3,0.155,12943,12010,61437,59395,933
4,0.207,12115,12088,63745,59762,27
5,0.259,12943,12610,65784,60557,333
6,0.31,12522,12208,62797,59871,314
7,0.362,12704,12922,63574,58950,-218
8,0.414,12660,12064,66560,61008,596
9,0.466,12412,12172,65109,58535,240
10,0.517,13382,12172,65458,59630,1210
11,0.569,14782,12034,65614,59341,2748
12,0.621,12710,12298,64158,59504,412
13,0.673,11670,12466,63530,59239,-796
14,0.724,11937,11944,62492,59787,-7
15,0.776,11969,11446,66549,59004,523
16,0.828,12078,11410,62270,58541,668
17,0.88,11880,11374,63703,60695,506
18,0.931,10546,11728,62661,60990,-1182
19,0.983,12070,11110,64377,59474,960
20,1.035,11404,11440,65870,59233,-36
21,1.087,12138,11224,65158,59811,914
22,1.138,13523,11308,62381,57355,2215
23,1.19,14566,12472,65650,59125,2094
24,1.242,13765,12094,63435,60015,1671
25,1.294,12673,11350,64631,61032,1323
26,1.345,11732,11392,63745,60310,340
27,1.397,12571,12118,63486,60310,453
28,1.449,12063,12340,63875,60063,-277
29,1.501,11936,12016,68228,59100,-80
30,1.552,11855,12358,63882,59492,-503
31,1.604,12264,12418,64401,59462,-154
32,1.656,12690,11866,62977,60196,824
33,1.707,11653,11386,63496,59919,267
34,1.759,11336,11590,64598,58523,-254
35,1.811,11417,11272,64281,58499,145
36,1.863,11434,11008,63753,58685,426
37,1.914,11679,11224,65529,60304,455
38,1.966,11452,11326,62504,59149,126
39,2.018,11612,11134,61960,60015,478
40,2.07,11051,11812,65890,59901,-761
41,2.121,11163,11242,65838,59781,-79
42,2.173,16330,12130,64854,60069,4200
43,2.225,17723,12016,61822,59167,5707
44,2.277,17645,11722,64995,59203,5923
45,2.328,16916,11806,63605,60364,5110
46,2.38,20355,12178,65404,59197,8177
47,2.432,19033,11680,63801,60208,7353
48,2.484,20967,12052,65485,59594,8915
49,2.535,17587,11824,64956,59275,5763
50,2.587,16626,11428,63798,60587,5198
51,2.639,16720,11224,67933,60551,5496
52,2.691,17052,11404,63446,58763,5648
53,2.742,22027,12418,65036,59678,9609
54,2.794,18738,11776,63041,59985,6962
55,2.846,15120,12340,63862,58691,2780
56,2.898,18019,12496,64062,58944,5523
57,2.949,20351,12040,63353,61839,8311
58,3.001,20450,11842,62027,61135,8608
59,3.053,19591,11848,64149,59227,7743
60,3.105,20091,11650,61619,58860,8441
61,3.156,18019,11758,66896,60924,6261
62,3.208,18501,11614,63008,58878,6887
63,3.26,18664,12226,64029,58204,6438
64,3.311,18179,12250,64130,60051,5929
