id,avg_x,avg_y,x,y,bg,Square_intensity,circular_intensity,Gaussian_intensity
1,105.900,49.120,106.1,49.49,1381.63,49448.0,17398.0,17398.0
2,105.900,49.120,105.95,49.64,1381.63,47296.0,14486.0,14486.0
3,105.900,49.120,105.96,49.37,1381.63,46118.0,13166.0,13166.0
4,105.900,49.120,105.83,49.66,1381.63,48297.0,15014.0,15014.0
5,105.900,49.120,105.78,49.39,1381.63,46856.0,15207.0,15207.0
6,105.900,49.120,106.1,49.82,1381.63,46610.0,13186.0,13186.0
7,105.900,49.120,105.96,49.9,1381.63,51357.0,16517.0,16517.0
8,105.900,49.120,105.84,49.56,1381.63,52935.0,20499.0,20499.0
9,105.900,49.120,106.05,49.76,1381.63,47616.0,13562.0,13562.0
10,105.900,49.120,106.42,49.54,1381.63,48287.0,13721.0,13721.0
11,105.900,49.120,106.1,49.49,1381.63,43524.0,12199.0,12199.0
12,105.900,49.120,106.06,49.59,1381.63,46421.0,13624.0,13624.0
13,105.900,49.120,105.65,49.52,1381.63,44309.0,10363.0,10363.0
14,105.900,49.120,105.98,49.63,1381.63,47555.0,14704.0,14704.0
15,105.900,49.120,105.95,49.69,1381.63,49371.0,16618.0,16618.0
16,105.900,49.120,106.04,49.59,1381.63,45550.0,13940.0,13940.0
17,105.900,49.120,105.62,49.62,1381.63,46592.0,14248.0,14248.0
18,105.900,49.120,105.96,49.66,1381.63,47533.0,13503.0,13503.0
19,105.900,49.120,105.66,49.54,1381.63,45546.0,12313.0,12313.0
20,105.900,49.120,105.56,49.54,1381.63,47561.0,12729.0,12729.0
21,105.900,49.120,105.72,48.95,1381.63,49486.0,15601.0,15601.0
22,105.900,49.120,105.66,49.44,1381.63,43727.0,10642.0,10642.0
23,105.900,49.120,105.78,49.68,1381.63,45648.0,11920.0,11920.0
24,105.900,49.120,105.94,49.79,1381.63,44402.0,10773.0,10773.0
25,105.900,49.120,106.1,49.49,1381.63,43352.0,11661.0,11661.0
26,105.900,49.120,105.56,49.47,1381.63,47498.0,13120.0,13120.0
27,105.900,49.120,106.33,49.54,1381.63,49445.0,16083.0,16083.0
28,105.900,49.120,105.91,49.6,1381.63,62033.0,29310.0,29310.0
29,105.900,49.120,105.8,49.67,1381.63,60485.0,27516.0,27516.0
30,105.900,49.120,105.94,49.76,1381.63,58028.0,24392.0,24392.0
31,105.900,49.120,106.37,49.55,1381.63,46972.0,12270.0,12270.0
32,105.900,49.120,106.01,49.53,1381.63,46520.0,14426.0,14426.0
33,105.900,49.120,105.74,49.35,1381.63,47344.0,13290.0,13290.0
34,105.900,49.120,105.92,49.58,1381.63,61102.0,28037.0,28037.0
35,105.900,49.120,106.03,49.66,1381.63,65535.0,30138.0,30138.0
36,105.900,49.120,105.92,49.77,1381.63,59787.0,26132.0,26132.0
37,105.900,49.120,105.91,49.57,1381.63,64192.0,29555.0,29555.0
38,105.900,49.120,106.06,49.64,1381.63,58455.0,24020.0,24020.0
39,105.900,49.120,105.76,49.73,1381.63,49050.0,15573.0,15573.0
40,105.900,49.120,106.02,49.47,1381.63,46741.0,13597.0,13597.0
41,105.900,49.120,105.75,49.55,1381.63,45930.0,15073.0,15073.0
42,105.900,49.120,105.8,49.32,1381.63,45286.0,11761.0,11761.0
43,105.900,49.120,105.97,49.56,1381.63,45546.0,13999.0,13999.0
44,105.900,49.120,106.4,49.55,1381.63,45015.0,12761.0,12761.0
45,105.900,49.120,105.59,49.09,1381.63,47761.0,14542.0,14542.0
46,105.900,49.120,106.03,49.52,1381.63,44721.0,13078.0,13078.0
47,105.900,49.120,105.95,49.43,1381.63,47607.0,15124.0,15124.0
48,105.900,49.120,105.93,49.72,1381.63,58267.0,23588.0,23588.0
49,105.900,49.120,105.78,49.71,1381.63,51379.0,17476.0,17476.0
50,105.900,49.120,105.77,49.76,1381.63,51994.0,19059.0,19059.0
51,105.900,49.120,105.88,49.77,1381.63,45832.0,11829.0,11829.0
52,105.900,49.120,105.47,50.12,1381.63,46211.0,14436.0,14436.0
53,105.900,49.120,106,49.52,1381.63,46449.0,14090.0,14090.0
54,105.900,49.120,105.41,50.03,1381.63,42250.0,9643.0,9643.0
55,105.900,49.120,105.98,49.57,1381.63,51199.0,18275.0,18275.0
56,105.900,49.120,105.88,49.72,1381.63,49355.0,15763.0,15763.0
57,105.900,49.120,105.66,49.87,1381.63,48744.0,16546.0,16546.0
58,105.900,49.120,105.69,49.68,1381.63,48764.0,16280.0,16280.0
59,105.900,49.120,105.58,49.56,1381.63,50523.0,17270.0,17270.0
60,105.900,49.120,105.61,49.52,1381.63,48148.0,14948.0,14948.0
61,105.900,49.120,106.04,49.5,1381.63,45789.0,14268.0,14268.0
62,105.900,49.120,105.82,49.74,1381.63,49026.0,15431.0,15431.0
63,105.900,49.120,105.71,49.62,1381.63,46176.0,13334.0,13334.0
64,105.900,49.120,105.84,49.47,1381.63,45633.0,13281.0,13281.0
65,105.900,49.120,105.83,49.66,1381.63,44993.0,12170.0,12170.0
66,105.900,49.120,105.68,49.86,1381.63,44858.0,11992.0,11992.0
67,105.900,49.120,105.8,49.76,1381.63,45760.0,12824.0,12824.0
68,105.900,49.120,105.78,49.68,1381.63,44788.0,12419.0,12419.0
69,105.900,49.120,105.92,49.79,1381.63,47050.0,13438.0,13438.0
70,105.900,49.120,106,49.69,1381.63,46558.0,13239.0,13239.0
71,105.900,49.120,105.95,49.86,1381.63,48322.0,14653.0,14653.0
72,105.900,49.120,105.67,49.44,1381.63,48782.0,16350.0,16350.0
73,105.900,49.120,105.48,49.63,1381.63,45905.0,12056.0,12056.0
74,105.900,49.120,105.6,49.48,1381.63,43792.0,11507.0,11507.0
75,105.900,49.120,106.04,49.56,1381.63,46993.0,14889.0,14889.0
76,105.900,49.120,105.77,49.58,1381.63,45391.0,13319.0,13319.0
77,105.900,49.120,105.56,49.68,1381.63,46810.0,13346.0,13346.0
78,105.900,49.120,105.79,49.69,1381.63,48586.0,16239.0,16239.0
79,105.900,49.120,105.79,49.66,1381.63,49167.0,15679.0,15679.0
80,105.900,49.120,105.98,49.77,1381.63,45615.0,12905.0,12905.0
81,105.900,49.120,105.88,49.61,1381.63,44695.0,12308.0,12308.0
82,105.900,49.120,106.08,49.59,1381.63,43011.0,10014.0,10014.0
83,105.900,49.120,105.92,49.62,1381.63,41631.0,10833.0,10833.0
84,105.900,49.120,106.1,49.49,1381.63,38805.0,6413.0,6413.0
85,105.900,49.120,105.53,49.64,1381.63,45270.0,12196.0,12196.0
86,105.900,49.120,105.8,49.54,1381.63,43221.0,10782.0,10782.0
87,105.900,49.120,106.4,49.67,1381.63,43236.0,10737.0,10737.0
88,105.900,49.120,105.7,49.43,1381.63,45526.0,12470.0,12470.0
