id,avg_x,avg_y,x,y,bg,Square_intensity,circular_intensity,Gaussian_intensity
1,260.860,31.600,260.57,31.51,1056.4,31450.0,1968.0,1968.0
2,260.860,31.600,260.57,31.51,1056.4,30655.0,1255.0,1255.0
3,260.860,31.600,260.57,31.51,1056.4,32386.0,2950.0,2950.0
4,260.860,31.600,260.57,31.51,1056.4,30824.0,2487.0,2487.0
5,260.860,31.600,260.57,31.51,1056.4,30070.0,1272.0,1272.0
6,260.860,31.600,260.57,31.51,1056.4,28680.0,184.0,184.0
7,260.860,31.600,260.57,31.51,1056.4,28746.0,0.0,0.0
8,260.860,31.600,260.57,31.51,1056.4,32382.0,2228.0,2228.0
9,260.860,31.600,260.57,31.51,1056.4,31667.0,2998.0,2998.0
10,260.860,31.600,260.57,31.51,1056.4,31442.0,3177.0,3177.0
11,260.860,31.600,260.57,31.51,1056.4,30263.0,1567.0,1567.0
12,260.860,31.600,260.57,31.51,1056.4,33506.0,4371.0,4371.0
13,260.860,31.600,260.57,31.51,1056.4,31916.0,3057.0,3057.0
14,260.860,31.600,260.57,31.51,1056.4,31897.0,2183.0,2183.0
15,260.860,31.600,260.57,31.51,1056.4,29814.0,968.0,968.0
16,260.860,31.600,260.57,31.51,1056.4,32497.0,3109.0,3109.0
17,260.860,31.600,260.57,31.51,1056.4,30630.0,2827.0,2827.0
18,260.860,31.600,260.57,31.51,1056.4,31442.0,2308.0,2308.0
19,260.860,31.600,260.57,31.51,1056.4,30282.0,810.0,810.0
20,260.860,31.600,260.57,31.51,1056.4,32377.0,3391.0,3391.0
21,260.860,31.600,260.57,31.51,1056.4,30077.0,2325.0,2325.0
22,260.860,31.600,260.57,31.51,1056.4,29593.0,1557.0,1557.0
23,260.860,31.600,260.57,31.51,1056.4,30336.0,1936.0,1936.0
24,260.860,31.600,260.57,31.51,1056.4,34478.0,4976.0,4976.0
25,260.860,31.600,260.57,31.51,1056.4,31001.0,2157.0,2157.0
26,260.860,31.600,260.57,31.51,1056.4,29170.0,1445.0,1445.0
27,260.860,31.600,260.57,31.51,1056.4,29246.0,1111.0,1111.0
28,260.860,31.600,260.57,31.51,1056.4,28228.0,1296.0,1296.0
29,260.860,31.600,260.57,31.51,1056.4,30040.0,1159.0,1159.0
30,260.860,31.600,260.57,31.51,1056.4,30914.0,2181.0,2181.0
31,260.860,31.600,260.57,31.51,1056.4,29328.0,695.0,695.0
32,260.860,31.600,260.57,31.51,1056.4,32815.0,4115.0,4115.0
33,260.860,31.600,260.57,31.51,1056.4,30147.0,1650.0,1650.0
34,260.860,31.600,260.57,31.51,1056.4,29739.0,3120.0,3120.0
35,260.860,31.600,260.57,31.51,1056.4,31106.0,2873.0,2873.0
36,260.860,31.600,260.57,31.51,1056.4,30597.0,2801.0,2801.0
37,260.860,31.600,260.57,31.51,1056.4,28164.0,813.0,813.0
38,260.860,31.600,260.57,31.51,1056.4,29706.0,1327.0,1327.0
39,260.860,31.600,260.57,31.51,1056.4,31462.0,3369.0,3369.0
40,260.860,31.600,260.57,31.51,1056.4,28671.0,143.0,143.0
41,260.860,31.600,260.57,31.51,1056.4,29760.0,2437.0,2437.0
42,260.860,31.600,260.57,31.51,1056.4,28101.0,1006.0,1006.0
43,260.860,31.600,260.57,31.51,1056.4,30436.0,2729.0,2729.0
44,260.860,31.600,260.57,31.51,1056.4,29748.0,2272.0,2272.0
45,260.860,31.600,260.57,31.51,1056.4,30010.0,2535.0,2535.0
46,260.860,31.600,260.57,31.51,1056.4,29341.0,2644.0,2644.0
47,260.860,31.600,260.57,31.51,1056.4,28920.0,578.0,578.0
48,260.860,31.600,260.57,31.51,1056.4,29254.0,1513.0,1513.0
49,260.860,31.600,260.57,31.51,1056.4,30196.0,3287.0,3287.0
50,260.860,31.600,260.57,31.51,1056.4,28837.0,953.0,953.0
51,260.860,31.600,260.57,31.51,1056.4,28913.0,2052.0,2052.0
52,260.860,31.600,260.57,31.51,1056.4,28753.0,1083.0,1083.0
53,260.860,31.600,260.57,31.51,1056.4,29171.0,2364.0,2364.0
54,260.860,31.600,260.57,31.51,1056.4,30653.0,3091.0,3091.0
55,260.860,31.600,260.57,31.51,1056.4,31558.0,3901.0,3901.0
56,260.860,31.600,260.57,31.51,1056.4,32566.0,4939.0,4939.0
57,260.860,31.600,260.57,31.51,1056.4,32540.0,4925.0,4925.0
58,260.860,31.600,260.57,31.51,1056.4,34899.0,6456.0,6456.0
59,260.860,31.600,260.57,31.51,1056.4,36195.0,8389.0,8389.0
60,260.860,31.600,260.57,31.51,1056.4,35390.0,7352.0,7352.0
61,260.860,31.600,260.57,31.51,1056.4,33837.0,7339.0,7339.0
62,260.860,31.600,260.57,31.51,1056.4,32207.0,5080.0,5080.0
63,260.860,31.600,260.57,31.51,1056.4,33724.0,6183.0,6183.0
64,260.860,31.600,260.57,31.51,1056.4,35472.0,7135.0,7135.0
65,260.860,31.600,260.57,31.51,1056.4,32506.0,4769.0,4769.0
66,260.860,31.600,260.57,31.51,1056.4,35296.0,6469.0,6469.0
67,260.860,31.600,260.57,31.51,1056.4,33140.0,5637.0,5637.0
68,260.860,31.600,260.57,31.51,1056.4,32376.0,4281.0,4281.0
69,260.860,31.600,260.57,31.51,1056.4,34647.0,7584.0,7584.0
70,260.860,31.600,260.57,31.51,1056.4,35391.0,7775.0,7775.0
