id,avg_x,avg_y,x,y,bg,Square_intensity,circular_intensity,Gaussian_intensity
476,221.890,32.380,222.03,32.87,1052.79,32636.0,5829.0,5829.0
477,221.890,32.380,222.03,32.87,1052.79,29816.0,3752.0,3752.0
478,221.890,32.380,222.03,32.87,1052.79,30446.0,3919.0,3919.0
479,221.890,32.380,222.03,32.87,1052.79,36421.0,8800.0,8800.0
480,221.890,32.380,222.03,32.87,1052.79,32638.0,5278.0,5278.0
481,221.890,32.380,222.03,32.87,1052.79,31746.0,5980.0,5980.0
482,221.890,32.380,222.03,32.87,1052.79,31068.0,5013.0,5013.0
483,221.890,32.380,222.03,32.87,1052.79,31620.0,6090.0,6090.0
484,221.890,32.380,222.03,32.87,1052.79,30919.0,4540.0,4540.0
485,221.890,32.380,222.03,32.87,1052.79,32710.0,7536.0,7536.0
486,221.890,32.380,222.03,32.87,1052.79,33470.0,6157.0,6157.0
487,221.890,32.380,222.03,32.87,1052.79,29276.0,3296.0,3296.0
488,221.890,32.380,222.03,32.87,1052.79,30244.0,3361.0,3361.0
489,221.890,32.380,222.03,32.87,1052.79,33284.0,6066.0,6066.0
490,221.890,32.380,222.03,32.87,1052.79,31798.0,6075.0,6075.0
491,221.890,32.380,222.03,32.87,1052.79,32828.0,5745.0,5745.0
492,221.890,32.380,222.03,32.87,1052.79,31196.0,3731.0,3731.0
493,221.890,32.380,222.03,32.87,1052.79,31742.0,5493.0,5493.0
494,221.890,32.380,222.03,32.87,1052.79,30881.0,4734.0,4734.0
495,221.890,32.380,222.03,32.87,1052.79,31951.0,6813.0,6813.0
496,221.890,32.380,222.03,32.87,1052.79,30043.0,4628.0,4628.0
497,221.890,32.380,222.03,32.87,1052.79,30987.0,4791.0,4791.0
498,221.890,32.380,222.03,32.87,1052.79,33377.0,5440.0,5440.0
499,221.890,32.380,222.03,32.87,1052.79,32864.0,6068.0,6068.0
500,221.890,32.380,222.03,32.87,1052.79,30587.0,4592.0,4592.0
501,221.890,32.380,222.03,32.87,1052.79,31417.0,4856.0,4856.0
502,221.890,32.380,222.03,32.87,1052.79,32348.0,5485.0,5485.0
503,221.890,32.380,222.03,32.87,1052.79,31139.0,4274.0,4274.0
504,221.890,32.380,222.03,32.87,1052.79,31485.0,5777.0,5777.0
505,221.890,32.380,222.03,32.87,1052.79,29573.0,3674.0,3674.0
506,221.890,32.380,222.03,32.87,1052.79,31895.0,6497.0,6497.0
507,221.890,32.380,222.03,32.87,1052.79,30524.0,4338.0,4338.0
508,221.890,32.380,222.03,32.87,1052.79,32329.0,6605.0,6605.0
509,221.890,32.380,222.03,32.87,1052.79,32923.0,5724.0,5724.0
