1949,103.31,46.67,559.19,356.53,0.85,-1,0,1,-2.81,0.25
1950,103.25,46.91,742.17,230.36,0.87,-1,0,1,-1.39,0.37
1951,103.45,46.6,2108,381.02,0.39,-1,0,1,2.6,0.02
1952,103.43,46.58,786.45,366.91,0.61,-1,0,1,2.31,0.14
1953,103.57,46.61,1433.15,329.22,0.56,-1,0,1,2.69,0.51
1954,103.16,46.91,1109.6,458.1,0.44,-1,0,1,-0.59,0.47
1955,103.39,46.49,1992,362.79,0.4,-1,0,1,2.45,0.1
1956,103.38,46.39,2241.83,471.67,0.34,-1,0,1,2.46,0.25
1957,103.55,46.57,2208,468.9,0.4,-1,0,1,-3.11,0.47
1958,103.08,46.51,1175.8,440.2,0.52,-1,0,1,-2.47,0.45
1959,103.53,46.58,2024,379.48,0.41,-1,0,1,-1.93,0.17
1960,103.41,46.45,1872,417.91,0.39,-1,0,1,-2.95,0.31
1961,103.27,46.73,865.22,308.08,0.73,-1,0,1,-2.88,0.38
1962,103.5,46.43,2290,336.84,0.44,-1,0,1,0.23,0.16
1963,103.38,46.52,1926,419.3,0.38,-1,0,1,3.06,0.26
1964,103.14,46.63,1031.76,289.34,0.67,-1,0,1,-0.87,0.3
1965,103.41,46.48,2036,462.65,0.38,-1,0,1,2.47,0.06
1966,103.42,46.42,1641.26,0,0.98,-1,0,1,2.45,0.08
1967,103.46,46.49,1494,324.7,0.42,-1,0,1,3,0.1
1968,103.36,46.45,2406,470.49,0.38,-1,0,1,2.02,0.08
1969,103.44,46.47,1792,389.49,0.4,-1,0,1,-2.83,0.39
1970,103.19,46.76,784.68,0,2,-1,0,1,-2.91,1.14
1971,104.16,46.16,648.66,0,2.03,-1,0,1,-0.53,1.04
1972,103.18,46.49,731.97,245,0.85,-1,0,1,-2.7,0.22
1973,103.03,46.65,954.53,37.43,1.09,-1,0,1,-0.55,0.41
1974,103.41,46.49,1876,390.66,0.41,-1,0,1,-2.72,0.23
1975,103.55,46.31,885.99,61.39,1.04,-1,0,1,-0.99,0.26
1976,103.32,46.43,976.32,0,1.31,-1,0,1,2.52,0.25
1977,103.31,46.69,1323.47,253.86,0.59,-1,0,1,2.06,0.16
1978,103.22,46.55,1171.92,311.85,0.54,-1,0,1,2.56,0.39
1979,103.61,46.52,1806,444.92,0.38,-1,0,1,2.56,0.31
1980,103.37,46.71,905.2,105.86,0.94,-1,0,1,0.96,0.09
1981,103.4,46.62,528.82,250.69,0.84,-1,0,1,-0.03,0.07
1982,103.46,46.6,2002,379.61,0.38,-1,0,1,-2.1,0.12
1983,103.57,46.57,940.63,0,1.36,-1,0,1,-2.76,0.18
1984,103.44,46.44,1872,373.8,0.42,-1,0,1,-2.67,0.18
1985,103.52,46.6,2124,370.91,0.4,-1,0,1,-2.62,0.17
1986,103.52,46.44,1825.97,423.06,0.41,-1,0,1,-2.89,0.4
1987,103.32,46.78,1004.47,0,1.09,-1,0,1,-2.48,0.26
1988,103.5,46.6,710.38,393.01,0.69,-1,0,1,3.07,0.18
1989,103.32,46.62,1267.42,339.26,0.56,-1,0,1,0.39,0.1
1990,103.42,46.6,2106,325.52,0.39,-1,0,1,2.54,0.11
1991,103.53,46.63,1914,402.7,0.37,-1,0,1,2.9,0.26
1992,103.29,46.73,961.65,336.48,0.62,-1,0,1,-1.84,0.18
1993,103.43,46.62,2294,377.18,0.37,-1,0,1,0.66,0.17
1994,103.3,46.51,1100.56,0,1.23,-1,0,1,2.44,0.23
1995,103.25,46.3,1318.42,32.54,0.86,-1,0,1,0.98,0.36
1996,103.54,46.51,2216,489.32,0.4,-1,0,1,1.47,0.22
1997,103.54,46.73,1003.85,0,1.29,-1,0,1,2.7,0.38
1998,103.16,46.76,1428.4,262.12,0.75,-1,0,1,NaN,0.28
1999,103.4,46.62,1219.36,55.6,1.05,-1,0,1,NaN,NaN
