1314,7.02,20.74,281.45,5918,94,94
1315,7.02,20.74,281.45,5425,0,0
1316,7.02,20.74,281.45,5357,0,0
1317,7.02,20.74,281.45,5574,0,0
1318,7.02,20.74,281.45,5598,0,0
1319,7.02,20.74,281.45,5903,0,0
1320,7.02,20.74,281.45,5921,240,240
1321,7.02,20.74,281.45,5881,80,80
1322,7.02,20.74,281.45,5367,0,0
1323,7.02,20.74,281.45,5562,0,0
1324,7.02,20.74,281.45,5489,0,0
1325,7.02,20.74,281.45,6175,179,179
1326,7.02,20.74,281.45,5700,0,0
1327,7.02,20.74,281.45,5414,0,0
1328,7.02,20.74,281.45,5469,0,0
1329,7.02,20.74,281.45,5710,47,47
1330,7.02,20.74,281.45,5013,0,0
1331,7.02,20.74,281.45,5938,48,48
1332,7.02,20.74,281.45,5471,0,0
1333,7.02,20.74,281.45,5800,0,0
1334,7.02,20.74,281.45,5778,51,51
1335,7.02,20.74,281.45,5779,0,0
1336,7.02,20.74,281.45,5639,0,0
1337,7.02,20.74,281.45,5731,0,0
1338,7.02,20.74,281.45,4954,0,0
1339,7.02,20.74,281.45,5388,0,0
1340,7.02,20.74,281.45,6020,88,88
1341,7.02,20.74,281.45,5278,0,0
1342,7.02,20.74,281.45,5444,0,0
1343,7.02,20.74,281.45,5342,0,0
1344,7.02,20.74,281.45,5559,0,0
1345,7.02,20.74,281.45,5254,0,0
1346,7.02,20.74,281.45,5714,0,0
1347,7.02,20.74,281.45,5162,0,0
1348,7.02,20.74,281.45,5865,122,122
1349,7.02,20.74,281.45,5364,0,0
1350,7.02,20.74,281.45,5795,2,2
1351,7.02,20.74,281.45,5605,0,0
1352,7.02,20.74,281.45,5516,0,0
1353,7.02,20.74,281.45,6327,137,137
1354,7.02,20.74,281.45,6016,0,0
1355,7.02,20.74,281.45,5852,6,6
1356,7.02,20.74,281.45,6164,50,50
1357,7.02,20.74,281.45,5441,0,0
1358,7.02,20.74,281.45,5786,17,17
1359,7.02,20.74,281.45,6135,109,109
1360,7.02,20.74,281.45,4854,0,0
1361,7.02,20.74,281.45,5919,132,132
1362,7.02,20.74,281.45,5793,0,0
1363,7.02,20.74,281.45,6152,149,149
1364,7.02,20.74,281.45,5964,0,0
1365,7.02,20.74,281.45,5710,0,0
1366,7.02,20.74,281.45,5724,0,0
1367,7.02,20.74,281.45,6898,215,215
